| date | open | last | high | low | volume | amount | exchange |
| 2022-11-04 | 152.16 | 156.47 | 156.6 | 150.57 | 30992524 | 4758246045 | 0.00 |
| 2022-10-28 | 153.45 | 153.16 | 155.73 | 152.5 | 20858694 | 3214093348 | 0.00 |
| 2022-10-21 | 154.92 | 154.15 | 155.33 | 151.27 | 29051745 | 4442386484 | 0.00 |
| 2022-10-14 | 155.94 | 152.98 | 156.81 | 152.72 | 27974354 | 4331813209 | 0.00 |
| 2022-10-07 | 155.44 | 157.88 | 161.08 | 155.23 | 34425705 | 5468809646 | 0.00 |
| 2022-09-30 | 153.22 | 154.67 | 156.05 | 151.03 | 37518505 | 5759383202 | 0.00 |
| 2022-09-23 | 154.87 | 153.01 | 157.25 | 152.64 | 34915790 | 5408939701 | 0.00 |
| 2022-09-16 | 161.04 | 155.84 | 161.62 | 154.34 | 37477416 | 5892841119 | 0.00 |
| 2022-09-09 | 159.17 | 159.82 | 160.24 | 158.08 | 17380135 | 2767251385 | 0.00 |
| 2022-09-02 | 161.88 | 159.26 | 162.62 | 157.32 | 27585136 | 4407584660 | 0.00 |
| 2022-08-26 | 161.66 | 161.76 | 163.99 | 161.36 | 21632346 | 3517444634 | 0.00 |
| 2022-08-19 | 165.99 | 162.72 | 166.25 | 162.62 | 26915933 | 4424598215 | 0.00 |
| 2022-08-12 | 166.03 | 167.87 | 167.98 | 165.93 | 20337723 | 3397831980 | 0.00 |
| 2022-08-05 | 164.98 | 165.29 | 167.31 | 163.48 | 26335350 | 4353601241 | 0.00 |
| 2022-07-29 | 160.64 | 164.1 | 164.69 | 159.51 | 25238874 | 4095872384 | 0.00 |
| 2022-07-22 | 160.08 | 160.67 | 162.13 | 158.03 | 25980909 | 4150841716 | 0.00 |
| 2022-07-15 | 161.93 | 159.01 | 162.71 | 158.22 | 37150779 | 5953743644 | 0.00 |
| 2022-07-08 | 167.18 | 162.3 | 167.33 | 161.47 | 35069100 | 5734427176 | 0.00 |
| 2022-07-01 | 170.6 | 168.32 | 170.7 | 166.96 | 34014433 | 5743934102 | 0.00 |
| 2022-06-24 | 171.06 | 170.09 | 172.3 | 169.85 | 24845483 | 4246118646 | 0.00 |
| 2022-06-17 | 171.18 | 171.27 | 172.77 | 168.3 | 45844253 | 7823126445 | 0.00 |
| 2022-06-10 | 172.81 | 174.54 | 174.94 | 170.46 | 34324174 | 5938672314 | 0.00 |
| 2022-06-03 | 172.71 | 172.58 | 174.45 | 171.08 | 24333019 | 4201635384 | 0.00 |
| 2022-05-27 | 173.13 | 172.85 | 174.41 | 171.73 | 27223264 | 4711305848 | 0.00 |
| 2022-05-20 | 168.43 | 172.03 | 172.52 | 168.34 | 38391560 | 6548857333 | 0.00 |
| 2022-05-13 | 174.27 | 168.79 | 174.27 | 168.01 | 55590298 | 9527974332 | 0.00 |
| 2022-05-06 | 173.61 | 175.42 | 177.61 | 172.98 | 52462058 | 9171790824 | 0.00 |
| 2022-04-29 | 177.17 | 176.91 | 178.62 | 175.5 | 45075276 | 7975918797 | 0.00 |
| 2022-04-22 | 185.95 | 180.29 | 186.1 | 179.74 | 47297744 | 8623908434 | 0.00 |
| 2022-04-14 | 183.17 | 184.04 | 184.94 | 181.11 | 42314692 | 7768225632 | 0.00 |
| 2022-04-08 | 180.24 | 181.47 | 181.82 | 178.7 | 47630042 | 8589120929 | 0.00 |
