universe,grp,rate,yrs,start,deep,mult
A_fair6y,DOT+LINK+OKB+POL,42.78,6.06,2020-08-14,False,8.655343504503325
A_fair6y,DOT+OKB+POL+ZEC,74.9,6.06,2020-08-14,True,29.60099062944495
A_fair6y,BNB+DOT+OKB+POL,59.24,6.06,2020-08-14,False,16.76625795321725
A_fair6y,BCH+DOT+OKB+POL,45.4,6.06,2020-08-14,True,9.663630225925727
A_fair6y,DOT+LINK+OKB+ZEC,62.15,6.06,2020-08-14,True,18.71098864589232
A_fair6y,BNB+DOT+LINK+OKB,49.79,6.06,2020-08-14,False,11.572465477704126
A_fair6y,BCH+DOT+LINK+OKB,34.23,6.06,2020-08-14,True,5.953447340277032
A_fair6y,BNB+DOT+OKB+ZEC,78.43,6.06,2020-08-14,True,33.41145013405673
A_fair6y,BCH+DOT+OKB+ZEC,63.13,6.06,2020-08-14,True,19.406849918648923
A_fair6y,BCH+BNB+DOT+OKB,50.46,6.06,2020-08-14,True,11.889719483607465
A_fair6y,LTC+OKB+TRX+XLM,32.59,6.06,2020-08-14,False,5.52605585033914
A_fair6y,OKB+TRX+XLM+XRP,28.34,6.06,2020-08-14,False,4.536009253269234
A_fair6y,OKB+POL+TRX+XLM,34.88,6.06,2020-08-14,False,6.130306618869643
A_fair6y,LINK+OKB+TRX+XLM,35.5,6.06,2020-08-14,False,6.30306998082579
A_fair6y,OKB+TRX+XLM+ZEC,45.82,6.06,2020-08-14,True,9.83403136318192
A_fair6y,BNB+OKB+TRX+XLM,33.41,6.06,2020-08-14,False,5.736428806982308
A_fair6y,BCH+OKB+TRX+XLM,35.64,6.06,2020-08-14,True,6.342638413893759
A_fair6y,LTC+OKB+TRX+XRP,33.45,6.06,2020-08-14,False,5.746859551017656
A_fair6y,LTC+OKB+POL+TRX,36.8,6.06,2020-08-14,False,6.678543363101321
A_fair6y,LINK+LTC+OKB+TRX,32.8,6.06,2020-08-14,False,5.579307972230769
A_fair6y,LTC+OKB+TRX+ZEC,48.14,6.06,2020-08-14,True,10.82117404840479
A_fair6y,BNB+LTC+OKB+TRX,36.63,6.06,2020-08-14,False,6.628407104204063
A_fair6y,BCH+LTC+OKB+TRX,31.7,6.06,2020-08-14,True,5.3050538453154985
A_fair6y,OKB+POL+TRX+XRP,29.74,6.06,2020-08-14,False,4.844263912173897
A_fair6y,LINK+OKB+TRX+XRP,36.21,6.06,2020-08-14,False,6.5058867208827875
A_fair6y,OKB+TRX+XRP+ZEC,35.73,6.06,2020-08-14,True,6.368184619452356
A_fair6y,BNB+OKB+TRX+XRP,23.31,6.06,2020-08-14,False,3.559997429452402
A_fair6y,BCH+OKB+TRX+XRP,36.32,6.06,2020-08-14,True,6.5377910938458665
A_fair6y,LINK+OKB+POL+TRX,39.08,6.06,2020-08-14,False,7.3821688251014015
A_fair6y,OKB+POL+TRX+ZEC,41.86,6.06,2020-08-14,True,8.322835873209264
A_fair6y,BNB+OKB+POL+TRX,26.98,6.06,2020-08-14,False,4.252419057420855
A_fair6y,BCH+OKB+POL+TRX,39.35,6.06,2020-08-14,True,7.4694436743214405
A_fair6y,LINK+OKB+TRX+ZEC,53.19,6.06,2020-08-14,True,13.258558890864938
A_fair6y,BNB+LINK+OKB+TRX,40.89,6.06,2020-08-14,False,7.983876767416257
A_fair6y,BCH+LINK+OKB+TRX,35.53,6.06,2020-08-14,True,6.311531532021038
A_fair6y,BNB+OKB+TRX+ZEC,27.48,6.06,2020-08-14,True,4.354906670194703
A_fair6y,BCH+OKB+TRX+ZEC,51.04,6.06,2020-08-14,True,12.17019061338394
A_fair6y,BCH+BNB+OKB+TRX,38.85,6.06,2020-08-14,True,7.308496739729861
A_fair6y,LTC+OKB+XLM+XRP,28.6,6.06,2020-08-14,False,4.591982979435591
A_fair6y,LTC+OKB+POL+XLM,33.88,6.06,2020-08-14,False,5.8599939053839325
A_fair6y,LINK+LTC+OKB+XLM,27.28,6.06,2020-08-14,False,4.3136669382538475
A_fair6y,LTC+OKB+XLM+ZEC,47.55,6.06,2020-08-14,True,10.56261951162345
A_fair6y,BNB+LTC+OKB+XLM,37.33,6.06,2020-08-14,False,6.8368876864207735
A_fair6y,BCH+LTC+OKB+XLM,27.6,6.06,2020-08-14,True,4.3798081437445875
A_fair6y,OKB+POL+XLM+XRP,31.63,6.06,2020-08-14,False,5.2879894577105
A_fair6y,LINK+OKB+XLM+XRP,30.41,6.06,2020-08-14,False,4.997859270958215
A_fair6y,OKB+XLM+XRP+ZEC,44.0,6.06,2020-08-14,True,9.113321720357092
A_fair6y,BNB+OKB+XLM+XRP,33.0,6.06,2020-08-14,False,5.630421971838875
A_fair6y,BCH+OKB+XLM+XRP,31.78,6.06,2020-08-14,True,5.324612280417108
A_fair6y,LINK+OKB+POL+XLM,35.18,6.06,2020-08-14,False,6.213401231621756
A_fair6y,OKB+POL+XLM+ZEC,51.14,6.06,2020-08-14,True,12.219101500096132
A_fair6y,BNB+OKB+POL+XLM,37.41,6.06,2020-08-14,False,6.861058748978288
A_fair6y,BCH+OKB+POL+XLM,36.99,6.06,2020-08-14,True,6.734952327531481
A_fair6y,LINK+OKB+XLM+ZEC,51.38,6.06,2020-08-14,True,12.337157680473952
A_fair6y,BNB+LINK+OKB+XLM,40.5,6.06,2020-08-14,False,7.8508833559316145
A_fair6y,BCH+LINK+OKB+XLM,30.45,6.06,2020-08-14,True,5.007156269685583
A_fair6y,BNB+OKB+XLM+ZEC,48.98,6.06,2020-08-14,True,11.198387665783287
A_fair6y,BCH+OKB+XLM+ZEC,51.25,6.06,2020-08-14,True,12.273092938591338
A_fair6y,BCH+BNB+OKB+XLM,40.25,6.06,2020-08-14,True,7.766608106916847
A_fair6y,LTC+OKB+POL+XRP,35.57,6.06,2020-08-14,False,6.32282835253779
A_fair6y,LINK+LTC+OKB+XRP,30.47,6.06,2020-08-14,False,5.011810181416824
A_fair6y,LTC+OKB+XRP+ZEC,48.29,6.06,2020-08-14,True,10.887744052739558
A_fair6y,BNB+LTC+OKB+XRP,38.1,6.06,2020-08-14,False,7.072511986730515
A_fair6y,BCH+LTC+OKB+XRP,30.78,6.06,2020-08-14,True,5.084408992280623
A_fair6y,LINK+LTC+OKB+POL,32.23,6.06,2020-08-14,False,5.435753917142278
A_fair6y,LTC+OKB+POL+ZEC,51.69,6.06,2020-08-14,True,12.491055128227009
A_fair6y,BNB+LTC+OKB+POL,38.76,6.06,2020-08-14,False,7.279836148255557
A_fair6y,BCH+LTC+OKB+POL,32.95,6.06,2020-08-14,True,5.617606964006246
A_fair6y,LINK+LTC+OKB+ZEC,46.77,6.06,2020-08-14,True,10.228736783734663
A_fair6y,BNB+LINK+LTC+OKB,36.81,6.06,2020-08-14,False,6.68150238784322
A_fair6y,BCH+LINK+LTC+OKB,24.98,6.06,2020-08-14,True,3.8623671367810264
A_fair6y,BNB+LTC+OKB+ZEC,50.9,6.06,2020-08-14,True,12.101990092112189
A_fair6y,BCH+LTC+OKB+ZEC,45.23,6.06,2020-08-14,True,9.595362896747256
A_fair6y,BCH+BNB+LTC+OKB,35.39,6.06,2020-08-14,True,6.2721252848062585
A_fair6y,LINK+OKB+POL+XRP,36.8,6.06,2020-08-14,False,6.678543363101321
A_fair6y,OKB+POL+XRP+ZEC,45.16,6.06,2020-08-14,True,9.567370108716402
A_fair6y,BNB+OKB+POL+XRP,31.64,6.06,2020-08-14,False,5.290424417522957
A_fair6y,BCH+OKB+POL+XRP,38.6,6.06,2020-08-14,True,7.229115698426282
A_fair6y,LINK+OKB+XRP+ZEC,52.03,6.06,2020-08-14,True,12.66168575501877
A_fair6y,BNB+LINK+OKB+XRP,41.21,6.06,2020-08-14,False,8.09439968827224
A_fair6y,BCH+LINK+OKB+XRP,33.53,6.06,2020-08-14,True,5.767768554452319
A_fair6y,BNB+OKB+XRP+ZEC,37.39,6.06,2020-08-14,True,6.855009304497847
A_fair6y,BCH+OKB+XRP+ZEC,51.71,6.06,2020-08-14,True,12.501038785529616
A_fair6y,BCH+BNB+OKB+XRP,40.88,6.06,2020-08-14,True,7.980443336661397
A_fair6y,LINK+OKB+POL+ZEC,54.81,6.06,2020-08-14,True,14.131296360403066
A_fair6y,BNB+LINK+OKB+POL,41.27,6.06,2020-08-14,False,8.115264282769274
A_fair6y,BCH+LINK+OKB+POL,34.93,6.06,2020-08-14,True,6.144090914973771
A_fair6y,BNB+OKB+POL+ZEC,40.97,6.06,2020-08-14,True,8.01138864292954
A_fair6y,BCH+OKB+POL+ZEC,54.8,6.06,2020-08-14,True,14.125765602566808
A_fair6y,BCH+BNB+OKB+POL,41.03,6.06,2020-08-14,True,8.032074458671316
A_fair6y,BNB+LINK+OKB+ZEC,56.23,6.06,2020-08-14,True,14.93524882831889
A_fair6y,BCH+LINK+OKB+ZEC,49.99,6.06,2020-08-14,True,11.666418972510005
A_fair6y,BCH+BNB+LINK+OKB,39.29,6.06,2020-08-14,True,7.449975192750696
A_fair6y,BCH+BNB+OKB+ZEC,53.59,6.06,2020-08-14,True,13.469746388160253
A_fair6y,ADA+DOT+SOL+TRX,48.6,6.06,2020-08-14,False,11.02640614339406
A_fair6y,ADA+DOT+SOL+XLM,39.54,6.06,2020-08-14,False,7.5313743509898865
A_fair6y,ADA+DOT+LTC+SOL,34.02,6.06,2020-08-14,False,5.897227178732934
A_fair6y,ADA+DOT+SOL+XRP,45.58,6.06,2020-08-14,False,9.736354836826287
A_fair6y,ADA+DOT+POL+SOL,41.85,6.06,2020-08-14,False,8.319281143815475
A_fair6y,ADA+DOT+LINK+SOL,33.33,6.06,2020-08-14,False,5.715614737986997
A_fair6y,ADA+DOT+SOL+ZEC,64.23,6.06,2020-08-14,True,20.2135273702164
A_fair6y,ADA+BNB+DOT+SOL,53.12,6.06,2020-08-14,False,13.221886898053537
A_fair6y,ADA+BCH+DOT+SOL,36.97,6.06,2020-08-14,True,6.728995872507813
A_fair6y,ADA+SOL+TRX+XLM,33.85,6.06,2020-08-14,False,5.8520409392747705
A_fair6y,ADA+LTC+SOL+TRX,34.57,6.06,2020-08-14,False,6.045419041539094
A_fair6y,ADA+SOL+TRX+XRP,32.62,6.06,2020-08-14,False,5.533637208099642
A_fair6y,ADA+POL+SOL+TRX,32.18,6.06,2020-08-14,False,5.423310004403803
A_fair6y,ADA+LINK+SOL+TRX,35.44,6.06,2020-08-14,False,6.286175292303534
A_fair6y,ADA+SOL+TRX+ZEC,46.35,6.06,2020-08-14,True,10.052635234563578
A_fair6y,ADA+BNB+SOL+TRX,34.91,6.06,2020-08-14,False,6.1385740942587645
A_fair6y,ADA+BCH+SOL+TRX,37.16,6.06,2020-08-14,True,6.7857601854648095
A_fair6y,ADA+LTC+SOL+XLM,29.33,6.06,2020-08-14,False,4.752231865527425
A_fair6y,ADA+SOL+XLM+XRP,29.44,6.06,2020-08-14,False,4.776778856598321
A_fair6y,ADA+POL+SOL+XLM,30.97,6.06,2020-08-14,False,5.129337488600639
A_fair6y,ADA+LINK+SOL+XLM,29.34,6.06,2020-08-14,False,4.754459048653213
A_fair6y,ADA+SOL+XLM+ZEC,48.55,6.06,2020-08-14,True,11.003942090678647
A_fair6y,ADA+BNB+SOL+XLM,38.69,6.06,2020-08-14,False,7.257609513635093
A_fair6y,ADA+BCH+SOL+XLM,32.49,6.06,2020-08-14,True,5.500847264390055
A_fair6y,ADA+LTC+SOL+XRP,32.3,6.06,2020-08-14,False,5.453215441166886
A_fair6y,ADA+LTC+POL+SOL,30.63,6.06,2020-08-14,False,5.0491716688988015
A_fair6y,ADA+LINK+LTC+SOL,26.58,6.06,2020-08-14,False,4.17188620198074
A_fair6y,ADA+LTC+SOL+ZEC,47.8,6.06,2020-08-14,True,10.671539356630042
A_fair6y,ADA+BNB+LTC+SOL,38.54,6.06,2020-08-14,False,7.210171763984968
A_fair6y,ADA+BCH+LTC+SOL,28.74,6.06,2020-08-14,True,4.62236077414084
A_fair6y,ADA+POL+SOL+XRP,30.89,6.06,2020-08-14,False,5.110379994068027
A_fair6y,ADA+LINK+SOL+XRP,32.35,6.06,2020-08-14,False,5.465716612548176
A_fair6y,ADA+SOL+XRP+ZEC,46.79,6.06,2020-08-14,True,10.23718640136968
A_fair6y,ADA+BNB+SOL+XRP,36.9,6.06,2020-08-14,False,6.708182907217289
A_fair6y,ADA+BCH+SOL+XRP,35.22,6.06,2020-08-14,True,6.224551227518427
A_fair6y,ADA+LINK+POL+SOL,30.29,6.06,2020-08-14,False,4.970054711082769
A_fair6y,ADA+POL+SOL+ZEC,45.92,6.06,2020-08-14,True,9.874970687692617
A_fair6y,ADA+BNB+POL+SOL,33.76,6.06,2020-08-14,False,5.828236094484517
A_fair6y,ADA+BCH+POL+SOL,33.29,6.06,2020-08-14,True,5.70523137456456
A_fair6y,ADA+LINK+SOL+ZEC,49.24,6.06,2020-08-14,True,11.317345037359097
A_fair6y,ADA+BNB+LINK+SOL,39.66,6.06,2020-08-14,False,7.570708916873514
A_fair6y,ADA+BCH+LINK+SOL,29.27,6.06,2020-08-14,True,4.738887052586797
A_fair6y,ADA+BNB+SOL+ZEC,48.3,6.06,2020-08-14,True,10.89219418335503
A_fair6y,ADA+BCH+SOL+ZEC,50.92,6.06,2020-08-14,True,12.111713439519866
A_fair6y,ADA+BCH+BNB+SOL,40.93,6.06,2020-08-14,True,7.997622827214812
A_fair6y,DOT+SOL+TRX+XLM,51.98,6.06,2020-08-14,False,12.636471652767167
A_fair6y,DOT+LTC+SOL+TRX,45.8,6.06,2020-08-14,False,9.825860528658112
A_fair6y,DOT+SOL+TRX+XRP,57.4,6.06,2020-08-14,False,15.626029930013251
A_fair6y,DOT+POL+SOL+TRX,57.09,6.06,2020-08-14,False,15.440457011576738
A_fair6y,DOT+LINK+SOL+TRX,46.07,6.06,2020-08-14,False,9.936646441579766
A_fair6y,DOT+SOL+TRX+ZEC,76.6,6.06,2020-08-14,True,31.387999527807995
A_fair6y,BNB+DOT+SOL+TRX,63.78,6.06,2020-08-14,False,19.880204736556532
