month,available_date,fed_rate,dollar,credit,liquidity,sentiment,earnings,inflation,housing,semiconductor,ai_innovation,regulation,crypto_native,composite
2015-08,2015-10,-0.8469,-1.0000,0.0000,1.0000,-1.0000,-0.6434,1.0000,0.3055,0.0000,0.0000,0.0000,0.0000,-0.1215
2015-09,2015-11,-0.9085,-1.0000,0.0000,1.0000,-1.0000,-0.6434,1.0000,0.3023,0.0000,0.0000,0.0000,0.0000,-0.1285
2015-10,2015-12,-0.6256,-1.0000,0.0000,1.0000,-0.7348,-0.7734,1.0000,0.3005,0.0000,0.0000,0.0000,0.0000,-0.0859
2015-11,2016-01,-0.7759,-1.0000,0.0000,1.0000,-0.5024,-0.7734,1.0000,0.3017,0.0000,0.0000,0.0000,0.0000,-0.0832
2015-12,2016-02,-1.0000,-1.0000,0.0000,1.0000,-1.0000,-0.7734,0.9743,0.2848,0.0000,0.0000,0.0000,0.0000,-0.1524
2016-01,2016-03,-1.0000,-1.0000,0.0000,1.0000,-1.0000,-0.4072,0.4068,0.2737,0.0000,0.0000,0.0000,0.0000,-0.1645
2016-02,2016-04,-1.0000,-1.0000,0.0000,1.0000,-1.0000,-0.4072,0.7479,0.2315,0.0000,0.0000,0.0000,0.0000,-0.1416
2016-03,2016-05,-1.0000,-1.0000,0.0000,1.0000,-0.0774,-0.4072,0.6860,0.1807,0.0000,0.0000,0.0000,0.0000,-0.0721
2016-04,2016-06,-1.0000,-1.0000,0.0000,1.0000,0.4415,-0.3086,0.4013,0.1601,0.0000,0.0000,0.0000,0.0000,-0.0429
2016-05,2016-07,-1.0000,-1.0000,0.0000,0.9968,0.2717,-0.3086,0.4603,0.1360,0.0000,0.0000,0.0000,0.0000,-0.0544
2016-06,2016-08,-1.0000,-1.0000,0.0000,0.9719,-0.7010,-0.3086,0.4339,0.1092,0.0000,0.0000,0.0000,0.0000,-0.1416
2016-07,2016-09,-1.0000,-1.0000,0.0000,0.9378,0.8300,-0.1867,0.6191,0.0869,0.0000,0.0000,0.0000,0.0000,0.0048
2016-08,2016-10,-1.0000,-1.0000,0.0000,0.8983,1.0000,-0.1867,0.3952,0.0798,0.0000,0.0000,0.0000,0.0000,-0.0024
2016-09,2016-11,-1.0000,-1.0000,0.0000,0.8608,0.4496,-0.1867,-0.1872,0.0515,0.0000,0.0000,0.0000,0.0000,-0.0972
2016-10,2016-12,-1.0000,-1.0000,0.0000,0.8358,0.3218,0.2601,-0.4039,0.0011,0.0000,0.0000,0.0000,0.0000,-0.0922
2016-11,2017-01,-1.0000,-1.0000,0.0000,0.7967,0.1312,0.2601,-0.4521,-0.0412,0.0000,0.0000,0.0000,0.0000,-0.1184
2016-12,2017-02,-1.0000,-1.0000,0.0000,0.7768,1.0000,0.2601,-0.9819,-0.0689,0.0000,0.0000,0.0000,0.0000,-0.0889
2017-01,2017-03,-1.0000,-1.0000,0.0000,0.7520,1.0000,0.3963,-1.0000,-0.0631,0.0000,0.0000,0.0000,0.0000,-0.0814
2017-02,2017-04,-1.0000,-1.0000,0.0000,0.7496,1.0000,0.3963,-1.0000,-0.0949,0.0000,0.0000,0.0000,0.0000,-0.0834
2017-03,2017-05,-1.0000,-1.0000,0.0000,0.7251,1.0000,0.3963,-1.0000,-0.1148,0.0000,0.0000,0.0000,0.0000,-0.0872
2017-04,2017-06,-1.0000,-1.0000,0.0000,0.7006,0.6622,0.1516,-1.0000,-0.1425,0.0000,0.0000,0.0000,0.0000,-0.1400
2017-05,2017-07,-1.0000,-1.0000,0.0000,0.6593,1.0000,0.1516,-0.7695,-0.1417,0.0000,0.0000,0.0000,0.0000,-0.0994
2017-06,2017-08,-1.0000,-0.9753,0.0000,0.6408,1.0000,0.1516,-0.4682,-0.1401,0.0000,0.0000,0.0000,0.0000,-0.0767
2017-07,2017-09,-1.0000,-0.7186,0.0000,0.6205,1.0000,0.2803,-0.5829,-0.1431,0.0000,0.0000,0.0000,0.0000,-0.0531
2017-08,2017-10,-1.0000,-0.6454,0.0000,0.5742,0.9152,0.2803,-0.8478,-0.1396,0.0000,0.0000,0.0000,0.0000,-0.0780
2017-09,2017-11,-1.0000,-0.6960,0.0000,0.5585,1.0000,0.2803,-1.0000,-0.1512,0.0000,0.0000,0.0000,0.0000,-0.0893
2017-10,2017-12,-1.0000,-0.8537,0.0000,0.5486,1.0000,-0.4199,-0.9664,-0.1486,0.0000,0.0000,0.0000,0.0000,-0.1607
2017-11,2018-01,-1.0000,-0.6802,0.0000,0.4783,1.0000,-0.4199,-1.0000,-0.1345,0.0000,0.0000,0.0000,0.0000,-0.1542
2017-12,2018-02,-1.0000,-0.6115,0.0000,0.4808,1.0000,-0.4199,-1.0000,-0.0787,0.0000,0.0000,0.0000,0.0000,-0.1444
2018-01,2018-03,-1.0000,-0.2119,0.0000,0.3809,0.8993,-0.3966,-1.0000,-0.0682,0.0000,0.0000,0.0000,0.0000,-0.1244
2018-02,2018-04,-1.0000,-0.3743,0.0000,0.2771,-1.0000,-0.3966,-1.0000,0.0447,0.0000,0.0000,0.0000,0.0000,-0.3030
2018-03,2018-05,-1.0000,-0.2422,0.0000,0.2369,-1.0000,-0.3966,-1.0000,0.0699,0.0000,0.0000,0.0000,0.0000,-0.2938
2018-04,2018-06,-1.0000,-0.4387,0.0000,0.1269,-0.8757,-0.1398,-1.0000,0.0673,0.0000,0.0000,0.0000,0.0000,-0.2926
2018-05,2018-07,-1.0000,-0.7366,0.0000,-0.1101,0.1690,-0.1398,-1.0000,0.0465,0.0000,0.0000,0.0000,0.0000,-0.2606
2018-06,2018-08,-1.0000,-0.8654,0.0000,-0.2929,0.2762,-0.1398,-1.0000,0.0284,0.0000,0.0000,0.0000,0.0000,-0.2849
2018-07,2018-09,-1.0000,-0.7721,0.0000,-0.5463,0.4001,-0.3632,-1.0000,-0.0227,0.0000,0.0000,0.0000,0.0000,-0.3156
2018-08,2018-10,-1.0000,-0.9400,0.0000,-1.0000,0.5109,-0.3632,-1.0000,-0.1284,0.0000,0.0000,0.0000,0.0000,-0.3782
2018-09,2018-11,-1.0000,-0.8536,0.0000,-1.0000,0.3714,-0.3632,-1.0000,-0.2424,0.0000,0.0000,0.0000,0.0000,-0.3881
2018-10,2018-12,-1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.1743,-1.0000,-0.3152,0.0000,0.0000,0.0000,0.0000,-0.4752
2018-11,2019-01,-1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.1743,-0.7398,-0.5128,0.0000,0.0000,0.0000,0.0000,-0.4669
2018-12,2019-02,-1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.1743,-0.5562,-0.8360,0.0000,0.0000,0.0000,0.0000,-0.4713
2019-01,2019-03,-1.0000,-0.6907,0.0000,-1.0000,-1.0000,-0.0961,0.0281,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.4310
2019-02,2019-04,-1.0000,-0.7628,0.0000,-1.0000,-0.2663,-0.0961,0.0013,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.3785
2019-03,2019-05,-1.0000,-0.8850,0.0000,-1.0000,-0.0700,-0.0961,-0.4071,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.4037
2019-04,2019-06,-1.0000,-0.8999,0.0000,-1.0000,0.3444,-0.2587,-0.5455,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.3944
2019-05,2019-07,-1.0000,-1.0000,0.0000,-1.0000,-0.6799,-0.2587,-0.3239,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.4726
2019-06,2019-08,-1.0000,-0.7449,0.0000,-1.0000,-0.4561,-0.2587,-0.1820,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.4198
2019-07,2019-09,-1.0000,-0.9173,0.0000,-1.0000,0.2475,-0.0522,-0.3703,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.3739
