date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2022-11-25,,1.0089,3.7594,,-0.1349,-0.1349,1.1826,,7444524.9244,7444524.9244
2022-12-02,,1.0153,3.7834,,-0.1293,-0.1293,1.1630,,7492033.4066,7492033.4066
2022-12-09,,1.0513,3.9175,,-0.0985,-0.0985,1.2354,,7757454.6230,7757454.6230
2022-12-16,,1.0544,3.9291,,-0.0958,-0.0958,1.2436,,7780499.2434,7780499.2434
2022-12-23,,1.0369,3.8637,,-0.1108,-0.1108,1.2054,,7651067.9402,7651067.9402
2022-12-30,,1.0410,3.8792,,-0.1073,-0.1073,1.2122,,7681725.7965,7681725.7965
2023-01-06,,1.0498,3.9121,,-0.0997,-0.0997,1.2134,,7746804.3470,7746804.3470
2023-01-13,,1.0664,3.9736,,-0.0856,-0.0856,1.2639,,7868667.5106,7868667.5106
2023-01-20,,1.0928,4.0720,,-0.0629,-0.0629,1.2911,,8063543.8017,8063543.8017
2023-02-03,,1.1140,4.1511,,-0.0447,-0.0447,1.2995,,8220181.4395,8220181.4395
2023-02-10,,1.1175,4.1641,,-0.0417,-0.0417,1.2874,,8245851.5108,8245851.5108
2023-02-17,,1.1019,4.1059,,-0.0551,-0.0551,1.2773,,8130662.7159,8130662.7159
2023-02-24,,1.1240,4.1884,,-0.0361,-0.0361,1.2781,,8294017.9592,8294017.9592
2023-03-03,,1.1329,4.2215,,-0.0285,-0.0285,1.2752,,8359578.1153,8359578.1153
2023-03-10,,1.1188,4.1693,,-0.0405,-0.0405,1.2562,,8256056.8285,8256056.8285
2023-03-17,,1.1149,4.1545,,-0.0439,-0.0439,1.2467,,8226786.0820,8226786.0820
2023-03-24,,1.1555,4.3060,,-0.0091,-0.0091,1.2463,,8526825.5537,8526825.5537
2023-03-31,,1.2349,4.6016,,0.0000,0.0000,1.2618,,9112092.5328,9112092.5328
2023-04-07,,1.2863,4.7931,,0.0000,0.0000,1.2856,,9491356.3094,9491356.3094
2023-04-14,,1.3636,5.0812,,0.0000,0.0000,1.2857,,10061795.3212,10061795.3212
2023-04-21,,1.3884,5.1736,,0.0000,0.0000,1.2770,,10244884.2942,10244884.2942
