combo,excess,gamma,avg_vol,avg_corr,rebal,hold,tier
"AMD,MU,RCL,2333_HK",7.39797397047437,7.667515166808086,52.81708160141033,0.2702406922030154,23.439196780213024,16.041222809738652,Q3
"AMD,MU,RCL,2382_HK",8.578383327141115,7.8389980018923096,54.34227420089457,0.29807462647042143,24.920881914043047,16.342498586901932,Q4高离散
"AMD,MU,RCL,3323_HK",7.573025789429622,7.515194107854173,53.30436555277708,0.2969406531592584,19.935503072800074,12.362477283370454,Q3
"AMD,MU,RCL,AMD_US",7.229245581217025,6.78210979739558,57.14441907516126,0.44662429160127126,23.393699353796205,16.16445377257918,Q2
"AMD,MU,BIDU,TCOM",7.038150730534931,6.670627639858344,50.31722068726302,0.311927847337913,22.773509887668887,15.735359157133955,Q2
"AMD,MU,BIDU,FSLR",8.493813927221261,8.047406023318418,53.40028976001441,0.26157963823942126,23.319618978655466,14.825805051434205,Q4高离散
"AMD,MU,BIDU,WLDN",8.319683342983453,7.957769671361444,52.775170807398354,0.2503527220140981,23.22620462770997,14.906521284726516,Q4高离散
"AMD,MU,BIDU,27_HK",7.47517675832714,7.160014277153786,50.34964752894846,0.2572260451715522,22.200793240970505,14.725616482643368,Q3
"AMD,MU,BIDU,921_HK",7.83441970742742,7.562528831067556,51.17841508321903,0.23716607991444594,24.364966006240742,16.53054629881332,Q3
"AMD,MU,BIDU,1919_HK",7.282944788279488,7.2591486326091,51.257868444375376,0.2724619127384163,22.04866296611627,14.765718177836785,Q3
"AMD,MU,BIDU,2018_HK",7.4408562108005505,7.0651615224934075,50.09011906508989,0.2582488138132229,22.709594939861,15.268738729060448,Q2
"AMD,MU,BIDU,2333_HK",7.269278362578113,7.395218242106336,51.150942089410975,0.255113763443064,24.95616690496267,17.68688854238456,Q3
"AMD,MU,BIDU,2382_HK",7.540391542961222,7.116220180439436,51.260092399272786,0.2876107124516272,24.104430044584223,16.564038501623003,Q3
"AMD,MU,BIDU,3323_HK",6.552476677131502,7.247641123699966,50.82359720838967,0.26012583617997787,21.2528672200915,14.700390542959996,Q3
"AMD,MU,BIDU,AMD_US",6.996599603252651,6.551261618643653,54.25578276900238,0.39718713728476024,23.93865054544029,16.942050942187635,Q2
"AMD,MU,TCOM,FSLR",8.51909566024438,8.064374674409397,53.37357107481439,0.25818512636002056,23.080207129013175,14.561111468768795,Q4高离散
"AMD,MU,TCOM,WLDN",8.245202255898153,7.860926573271887,52.748452122198344,0.25834394225088136,22.89044583621569,14.645243580317535,Q4高离散
"AMD,MU,TCOM,27_HK",6.663446648977933,6.798769705563218,49.482632318644406,0.2699377567367128,21.646897427998724,14.98345077902079,Q2
"AMD,MU,TCOM,921_HK",7.62491000167933,7.174521298313224,50.67379578744015,0.264472485908599,23.415699135031943,15.790789133352611,Q3
"AMD,MU,TCOM,1919_HK",6.929002336240653,6.945921598478022,50.6393646589567,0.28764049725857027,22.36845698721941,15.439454650978757,Q2
"AMD,MU,TCOM,2018_HK",7.215832288331625,6.799956435019483,49.6270152479992,0.272388879802096,22.627113953631174,15.411281665299548,Q2
"AMD,MU,TCOM,2333_HK",7.482321139355097,7.122518960526265,50.21804297683118,0.25483585426996297,24.71819965068176,17.235878511326664,Q3
"AMD,MU,TCOM,2382_HK",7.568220240895007,7.192001632975531,51.34546914686573,0.27965962586288595,24.004509566644305,16.4362893257493,Q3
"AMD,MU,TCOM,3323_HK",6.917584226919193,7.190211328751861,50.536511720232916,0.2565905658502315,20.283081016730286,13.365496789811093,Q3
"AMD,MU,TCOM,AMD_US",6.685085159250392,6.416248792870132,54.16744003126246,0.40680436302794826,23.049566524552212,16.36448136530182,Q2
"AMD,MU,FSLR,WLDN",9.653284158110687,9.1995842076914,55.54590894744172,0.21514294224531605,24.1565432193803,14.503259061269613,Q4高离散
"AMD,MU,FSLR,27_HK",8.525269590851803,8.24317725049823,53.275406199005126,0.23698503302065085,22.4172336280426,13.891964037190796,Q4高离散
"AMD,MU,FSLR,921_HK",8.942908409589245,8.773345726435727,54.43602765731411,0.2182232653755852,25.561094353489743,16.6181859439005,Q4高离散
"AMD,MU,FSLR,1919_HK",8.565418864107933,8.400271246183225,54.35945245244096,0.25000120466451414,22.677918317146005,14.112499453038074,Q4高离散
"AMD,MU,FSLR,2018_HK",8.353673367146698,8.190134203261609,52.774184676833535,0.22897657309464095,22.300801046944695,13.947127679798,Q4高离散
"AMD,MU,FSLR,2333_HK",8.996002035094897,8.37973922235391,53.63055313190341,0.2318310749226514,24.324082551266656,15.32808051617176,Q4高离散
"AMD,MU,FSLR,2382_HK",7.994025328262877,8.482045433267798,53.86262994972684,0.22806950458951933,23.991474979443026,15.997449651180151,Q4高离散
"AMD,MU,FSLR,3323_HK",8.095226514982112,8.367798827311141,53.505101020160865,0.22861818364960926,21.772355601081237,13.677129086099127,Q4高离散
"AMD,MU,FSLR,AMD_US",7.452805674267893,7.56168724687552,56.84090112484294,0.3745457848237672,23.48113157146998,16.028325897202087,Q3
"AMD,MU,WLDN,27_HK",8.10566914637314,7.9651112058888085,52.65028724638907,0.24468530089232307,22.091093890611813,13.985424744238673,Q4高离散
"AMD,MU,WLDN,921_HK",8.638051933915802,8.534693191919619,53.81090870469804,0.22179397716580254,25.317335214122096,16.679283280206292,Q4高离散
"AMD,MU,WLDN,1919_HK",8.344154740104948,8.28954373531501,53.73433349982489,0.24256142079831985,22.546926134873036,14.202771394768089,Q4高离散
"AMD,MU,WLDN,2018_HK",8.026953415123671,7.959391940789989,52.14906572421748,0.23082194894446761,22.066733269912262,14.039779854788591,Q4高离散
"AMD,MU,WLDN,2333_HK",8.681370567852387,8.230421575386364,53.00543417928735,0.22693697043888372,24.08407918935307,15.402708621500683,Q4高离散
"AMD,MU,WLDN,2382_HK",8.706613348129055,8.03830909577255,53.651043326690214,0.2664827149866375,25.438359695832457,16.731746347703403,Q4高离散
"AMD,MU,WLDN,3323_HK",7.926878380661528,8.301296546836811,52.87998206754481,0.21513878153775398,21.70068812188064,13.773809741219111,Q4高离散
"AMD,MU,WLDN,AMD_US",7.777403189765741,7.3644419534387024,56.45730065491379,0.38237456925644414,24.36109212758486,16.58368893781912,Q3
"AMD,MU,27_HK,921_HK",7.457070937980714,7.453771642399504,50.7389319078767,0.2358001716934499,21.64894318336168,14.191872245380965,Q3
"AMD,MU,27_HK,1919_HK",7.098307641787138,7.229241801984608,50.67568438428388,0.2578181576662061,21.265075034335013,14.166767392547875,Q3
"AMD,MU,27_HK,2018_HK",7.262883388899888,6.887988834557018,49.659442089684646,0.26706637090494273,21.602510546330777,14.33962715743089,Q2
"AMD,MU,27_HK,2333_HK",6.640924413302773,7.167569229410914,50.28317909726773,0.2538443962923668,22.669376657404893,16.02845224410212,Q3
"AMD,MU,27_HK,2382_HK",7.539287903110292,7.20619992184178,51.23950878033745,0.2777154906089338,23.821972969799777,16.282685066689485,Q3
"AMD,MU,27_HK,3323_HK",6.757993693955311,7.014612219087107,50.43422991429289,0.2777419996993043,19.11047225735898,12.352478563403668,Q2
"AMD,MU,27_HK,AMD_US",6.691425784408689,6.616021373589928,54.06529526852493,0.3837766056415926,22.783249569476173,16.091823785067483,Q2
"AMD,MU,921_HK,1919_HK",7.27842652667865,7.460965400484487,51.49235470189362,0.2560949434086931,23.372737112110407,16.09431058543176,Q3
"AMD,MU,921_HK,2018_HK",7.676645572600549,7.412344202733803,50.488209643955216,0.2305556465053893,23.92431133185513,16.24766575925458,Q3
"AMD,MU,921_HK,2333_HK",7.7384408762426915,7.558143732518441,51.47434256606347,0.245855307466904,24.448958997731253,16.710518121488562,Q3
"AMD,MU,921_HK,2382_HK",8.651523695663442,7.832774909096001,52.53682734945399,0.2494891681361656,27.118826366175664,18.46730267051222,Q4高离散
"AMD,MU,921_HK,3323_HK",6.772010478059753,7.726604314712898,51.49814102419025,0.2275698515123237,22.02269290828007,15.25068243022032,Q3
"AMD,MU,921_HK,AMD_US",7.603595439453104,7.0902037465136,55.34708008185065,0.373509878974075,25.836000037251793,18.23240459779869,Q3
"AMD,MU,1919_HK,2018_HK",7.2806894762196706,7.1618479822859165,50.567663005111555,0.2613614903948938,21.663107959439863,14.382418483220194,Q3
"AMD,MU,1919_HK,2333_HK",6.6909866160687725,7.291617182155244,51.47053767051381,0.2737683160572758,23.830746513661282,17.139759897592512,Q3
"AMD,MU,1919_HK,2382_HK",6.347705630494249,7.362595618178898,52.12601649451165,0.2847555424833648,22.292733590293935,15.945027959799685,Q3
"AMD,MU,1919_HK,3323_HK",6.79167928266613,7.202399371187639,51.521894645628144,0.28521421947342823,19.535157009546424,12.743477726880293,Q3
"AMD,MU,1919_HK,AMD_US",6.066029914149884,6.707350546194178,55.07498642567784,0.400675263052474,22.00062277914816,15.934592864998276,Q2
"AMD,MU,2018_HK,2333_HK",6.818188045644713,7.053556830585933,50.46073665014716,0.27266926526968377,24.27236562812576,17.454177582481044,Q2
"AMD,MU,2018_HK,2382_HK",6.844484839472065,6.817505333756725,50.75716314647074,0.30926022315717383,23.09936673613773,16.254881896665662,Q2
"AMD,MU,2018_HK,3323_HK",6.776952197256758,7.109108009058832,49.99232550022479,0.25148693438359665,19.162276535828028,12.38532433857127,Q3
"AMD,MU,2018_HK,AMD_US",6.303193420667008,6.3474677499827585,53.61473798426529,0.3985295279033287,22.470838309140497,16.167644888473486,Q1低离散
"AMD,MU,2333_HK,2382_HK",7.899774870157827,7.205464767687866,51.58401827754704,0.2879034950848604,24.761384021906174,16.861609151748347,Q3
"AMD,MU,2333_HK,3323_HK",6.676826606939734,7.368603787648179,50.90979643898643,0.24940572510565326,21.42808420781406,14.751257600874323,Q3
"AMD,MU,2333_HK,AMD_US",7.171704229725817,6.701585785196548,54.416220235360576,0.3832557927180023,23.832133312910763,16.660429083184948,Q2
"AMD,MU,2382_HK,3323_HK",5.001497059741911,7.134583219049809,50.9128369535656,0.27508097404241244,20.794651600096724,15.793154540354815,Q3
"AMD,MU,2382_HK,AMD_US",7.178970096114412,6.548448759817155,54.86876999550099,0.4100391106839658,24.283230379361022,17.10426028324661,Q2
"AMD,MU,3323_HK,AMD_US",5.675703080405969,6.748519593917418,54.34684538202179,0.3760482301584737,21.451583249334092,15.775880168928126,Q2
"AMD,STX,WDC,ON",5.197965707760854,4.897834902876939,50.77222149110747,0.51024758325799,19.50063994659743,14.302674238836577,Q1低离散
"AMD,STX,WDC,ENTG",5.394174851010791,5.2061304271103825,52.79752341430771,0.5160464423257117,19.23641064578714,13.842235794776347,Q1低离散
"AMD,STX,WDC,RCL",5.95655553888883,5.791574837835493,53.196316865976875,0.47077357943303944,19.43818322290747,13.481627684018637,Q1低离散
"AMD,STX,WDC,BIDU",6.43858323562545,6.133932578723897,51.43065889792228,0.3943632114582893,21.242214941500514,14.803631705875064,Q1低离散
"AMD,STX,WDC,TCOM",6.317591224001262,5.999075780614466,50.597278241397724,0.38316399680102803,21.56395237954516,15.246361155543898,Q1低离散
"AMD,STX,WDC,FSLR",7.71712420706836,7.227481173679341,54.426325179402625,0.37064949279956155,21.047085545207132,13.329961338138773,Q3
"AMD,STX,WDC,WLDN",7.656614242380044,7.293983559727112,53.801206226786555,0.345736217568805,21.08870742586322,13.432093183483174,Q3
"AMD,STX,WDC,27_HK",6.063885711581829,6.086491463264395,50.66241436183429,0.3768752168749954,19.525587353732288,13.461701642150459,Q1低离散
"AMD,STX,WDC,921_HK",7.123206462216292,6.7027891251331075,51.85357783063003,0.34591337955024887,21.615723166844703,14.492516704628411,Q2
"AMD,STX,WDC,1919_HK",6.293596726493633,6.195683710325628,51.79505357504182,0.39658185407845375,20.05080416545897,13.757207438965334,Q1低离散
"AMD,STX,WDC,2018_HK",6.477261412188118,6.135651023506332,50.740453458658465,0.371645025926678,20.90011758144119,14.422856169253073,Q1低离散
"AMD,STX,WDC,2333_HK",6.516304742181145,6.547856159104036,51.39782502002106,0.3473484772194299,22.765168543069404,16.24886380088826,Q2
"AMD,STX,WDC,2382_HK",7.036961308740253,6.478771513682031,52.49720750880631,0.3821894781296595,22.808710079248407,15.771748770508154,Q2
"AMD,STX,WDC,3323_HK",6.241549573663496,6.230174793856534,51.49356392097953,0.38467056606828565,17.931827102657817,11.690277528994319,Q1低离散
"AMD,STX,WDC,AMD_US",6.13823454235245,5.763966938647655,55.3232526331117,0.5021378625748772,21.746324243660965,15.608089701308515,Q1低离散
"AMD,STX,ON,ENTG",5.646555692283384,5.266391626151669,52.65511886357853,0.5049211127540644,18.878422830158858,13.231867137875476,Q1低离散
"AMD,STX,ON,RCL",6.303006085822038,5.887404725971268,53.053912315247686,0.455334235286924,19.131961078475925,12.828954992653884,Q1低离散
"AMD,STX,ON,BIDU",6.624163292338814,6.380944289840268,51.07325382802341,0.359026133149779,20.66696378717601,14.042800494837193,Q1低离散
"AMD,STX,ON,TCOM",6.601981507366506,6.209717335561137,50.45487369066854,0.3562962364870513,21.37610260291931,14.774121095552806,Q1低离散
"AMD,STX,ON,FSLR",7.797037605406398,7.252228604765013,54.112105928418195,0.35906044236093576,20.70198621114283,12.904948605736433,Q3
"AMD,STX,ON,WLDN",7.873166410910026,7.409691823842832,53.48698697580214,0.32534156100054684,20.887361524308655,13.01419511339863,Q3
"AMD,STX,ON,27_HK",6.598285291322403,6.299513929758602,50.52000981110509,0.3496360983764651,19.40488348520246,12.80659819388006,Q1低离散
"AMD,STX,ON,921_HK",7.574488664187529,6.972079635047372,51.711173279900834,0.3119300759386006,21.525466225538814,13.950977561351285,Q2
"AMD,STX,ON,1919_HK",6.722919277413042,6.441310606298792,51.49181981005408,0.3625206594000263,19.897599182788596,13.174679905375552,Q2
"AMD,STX,ON,2018_HK",6.696818208080102,6.297435457092608,50.38304838875959,0.3462206899669513,20.304535992774262,13.607717784694163,Q1低离散
"AMD,STX,ON,2333_HK",6.75954957008198,6.744305190264494,51.25542046929187,0.3217354925693019,22.613739651767606,15.854190081685626,Q2
"AMD,STX,ON,2382_HK",6.803407546502305,6.654526315212193,51.990861653459454,0.3515264522529617,21.738438716855278,14.935031170352975,Q2
"AMD,STX,ON,3323_HK",6.789363628360023,6.481569812558674,51.16836324835915,0.3488943339721145,17.630114127103937,10.840750498743912,Q2
"AMD,STX,ON,AMD_US",5.806146280083646,5.723168131081713,54.89689498306055,0.4948273052131231,20.49739319985111,14.691246919767465,Q1低离散
"AMD,STX,ENTG,RCL",6.310144389902916,5.889956496679841,55.07921423844794,0.48774805188492826,18.535040592249153,12.224896202346237,Q1低离散
"AMD,STX,ENTG,BIDU",6.845893274894643,6.623594224567637,53.32748366825477,0.3819912745743947,20.770377932201157,13.924484657306513,Q2
"AMD,STX,ENTG,TCOM",6.582570267325094,6.387745695050792,52.480175613868795,0.38320923691249426,20.93393239346004,14.351362126134948,Q1低离散
"AMD,STX,ENTG,FSLR",8.217768483719489,7.652033809969599,56.528034155035314,0.3676046136147158,21.096094654694355,12.878326170974862,Q3
"AMD,STX,ENTG,WLDN",8.53290625452674,8.029675198992384,55.902915202419244,0.3184577868204271,21.52094150457893,12.988035250052189,Q4高离散
"AMD,STX,ENTG,27_HK",6.712876572239224,6.4376279527265945,52.54531173430534,0.3813893515054887,18.912887387120048,12.200010814880823,Q2
"AMD,STX,ENTG,921_HK",7.6823158695046745,7.208622004468474,53.73647520310109,0.3340774722593321,21.142357824372194,13.460041954867519,Q3
"AMD,STX,ENTG,1919_HK",6.9951927091426835,6.77386209502227,53.711313125684114,0.3760565563484817,19.776130323411834,12.780937614269149,Q2
"AMD,STX,ENTG,2018_HK",6.757705675329673,6.450913149295276,52.637278228990944,0.3816001542617545,20.23792884798079,13.480223172651119,Q2
"AMD,STX,ENTG,2333_HK",6.677759877986178,6.930373346067709,53.280722392492116,0.3484911916500814,22.18346724860478,15.505707370618605,Q2
"AMD,STX,ENTG,2382_HK",7.481827691625731,7.01792186561699,54.656228623514735,0.37390121071919474,22.677654527200186,15.195826835574454,Q2
"AMD,STX,ENTG,3323_HK",6.936498537748248,6.619209989634712,53.53450555733992,0.3875388335291179,17.887822004519528,10.951323466771278,Q2
"AMD,STX,ENTG,AMD_US",6.477301072523556,6.169577200544466,57.47510692733402,0.500343013931328,21.399995027308314,14.92269395478476,Q1低离散
"AMD,STX,RCL,BIDU",7.667204893613899,7.25325711877423,53.769134881231,0.3350016162456582,21.397889021170545,13.730684127556646,Q3
