波动档,N,策略,窗口,净CAGR,死拿,超额pp,波动,回撤,夏普
40,20,D 最大γ*贪心,训练期05-15,23.03298188483356,11.664724506487856,11.368257378345703,29.180662671506507,-54.730941144564696,0.7893234689054592
40,20,D 最大γ*贪心,验证期16-25,27.023215110552634,34.25614564527979,-7.2329305347271555,20.513747094941436,-27.381233094209602,1.3173222320370905
40,20,D 最大γ*贪心,全期21年,23.932129614746934,18.591450828858115,5.340678785888819,25.307882429347266,-54.730941144564696,0.9456393549147757
40,20,E 类别均衡,训练期05-15,23.867923146837633,16.134810005843136,7.733113140994496,22.100414497652444,-38.84437639768353,1.0799762669325925
40,20,E 类别均衡,验证期16-25,25.495789970714,20.42146390383408,5.0743260668799195,18.11853194825498,-17.417055260700533,1.4071664328836275
40,20,E 类别均衡,全期21年,24.099358888377264,16.578671161169023,7.520687727208242,20.269523701893,-38.84437639768353,1.188945494862644
40,30,A 随机,训练期05-15,18.91290672492667,11.742690229317287,7.170216495609383,28.572074404373677,-56.97071755544818,0.6619367728522916
40,30,A 随机,验证期16-25,25.160896803573095,19.47904729357166,5.6818495100014355,19.700004347276728,-29.544734483748915,1.277202601584769
40,30,A 随机,全期21年,21.927324965017792,13.837495580555892,8.0898293844619,24.291045720387228,-56.97071755544818,0.9026916838995701
40,30,B 波动最高,训练期05-15,21.57591597460391,13.979116027906757,7.5967999466971525,29.593153162532303,-58.34264962848466,0.729084726325177
40,30,B 波动最高,验证期16-25,25.699781081407313,30.718117491581754,-5.01833641017444,19.396234360470185,-27.232645037925487,1.324988170579329
40,30,B 波动最高,全期21年,23.44232862881428,17.478004184433882,5.964324444380398,24.816450459665766,-58.34264962848466,0.9446285908984103
40,30,C 最小相关贪心,训练期05-15,22.78028189100576,15.684367107300767,7.095914783704993,23.18347132293703,-44.2196570611604,0.9826087549049496
40,30,C 最小相关贪心,验证期16-25,28.101199035034476,30.362488616665484,-2.2612895816310097,19.030124323592943,-27.727853443923212,1.476669230173946
40,30,C 最小相关贪心,全期21年,25.22506172019734,18.53683112720055,6.688230592996791,21.329311954612994,-44.2196570611604,1.1826476997417534
40,30,D 最大γ*贪心,训练期05-15,23.224490396343466,14.740829559666246,8.48366083667722,28.209176922562097,-55.7583327518747,0.8232955700940069
40,30,D 最大γ*贪心,验证期16-25,25.094115305963903,30.520346916978557,-5.426231611014654,18.997558271223248,-28.291502676141267,1.3209126640224855
40,30,D 最大γ*贪心,全期21年,23.993400108428318,17.626323070652905,6.367077037775415,23.860689340831737,-55.7583327518747,1.0055618999812164
40,30,E 类别均衡,训练期05-15,22.503924159532108,14.375238012772694,8.128686146759412,24.344447740742403,-47.510288457701364,0.9243965769603378
40,30,E 类别均衡,验证期16-25,27.77105229265335,30.309884371583706,-2.538832078930353,18.875817622817202,-24.165004421629853,1.471250297474984
40,30,E 类别均衡,全期21年,25.266582002775007,18.42537747577506,6.841204526999944,21.790726838269155,-47.510288457701364,1.1595107492422654
