组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['SLV', 'AA', 'FSLR', 'MARA']",23.339557554092703,-7.944100369964646,4.136782028367852,11.269657179858568,0.21877638651490386,67.89073907766641,6.523125951964614,-0.628348155930623,14.416666666666666
"['OXY', 'MSTR', 'MARA', '960_HK']",24.729696898610626,-8.066208729519841,2.8000024165673714,7.953513194022744,0.1888458682727837,72.10297117539855,8.382684721950207,-0.7101143350924155,14.416666666666666
"['CL', 'MSTR', 'MARA', '1093_HK']",22.868273064230365,-8.080929299585172,4.9124223258101845,13.44984833240229,0.14327716479226602,64.04742713888278,1.6929833900318738,-0.5704519906255046,14.416666666666666
"['INDA', 'MA', 'UEC', 'MARA']",22.50762872445359,-8.150824079471208,4.9194924650755905,13.581655649955497,0.2630955867876558,61.77755570254504,3.937423131254729,-0.27860069766658324,14.416666666666666
"['AMZN', 'ENPH', 'MARA', '16_HK']",24.70917607279089,-8.21727309510456,7.343777753708511,19.890749696569323,0.171684554496941,66.14719224609624,7.245947775770467,-0.5322744667900808,14.416666666666666
"['MSTR', 'MARA', '345_HK', '2318_HK']",23.11161761720725,-8.222218584129525,3.2722376068384844,9.37367468406694,0.2014939518114972,65.54519845795478,4.450946951535389,-0.6648744511623234,14.416666666666666
"['TSM', 'CB', 'ENPH', 'MARA']",24.77816298717712,-8.518977484943878,9.395229286812762,25.920377873453322,0.19198071134845043,67.38974645796712,6.2844930932269145,-0.616649713270975,14.416666666666666
"['MSTR', 'MARA', '16_HK', '1919_HK']",23.63077487866762,-8.550125765593709,4.248463577434332,12.43490509950259,0.21625939116379214,66.9023802230732,2.259820693102661,-0.5863010300596292,14.416666666666666
"['BKR', 'MSTR', 'MARA', '2018_HK']",24.60249375584259,-8.564904413826536,3.2075470940238597,9.598791074711464,0.234255348294405,71.91280981786491,4.756563568802358,-0.6872907427234507,14.416666666666666
"['EMR', 'MSTR', 'MARA', '2380_HK']",23.15918138456089,-8.617692734042537,3.7940748905183166,11.28840855446986,0.2083808996644456,66.18176044552978,2.931540263806795,-0.6221799631927551,14.416666666666666
"['C', 'V', 'UEC', 'MARA']",23.079702099825152,-8.645512069274574,5.337095638723731,15.545138188112436,0.32063327030113414,64.42265843115041,2.867636270645726,-0.3051717178919653,14.416666666666666
"['C', 'NTES', 'MSTR', 'MARA']",23.905392963304838,-8.6487651642436,5.8449095580922314,16.920836502229893,0.26263973628853526,69.14339765325552,1.5035147534268851,-0.48550403044243906,14.416666666666666
"['MA', 'MSTR', 'MARA', '700_HK']",23.174028814798685,-8.68747329266608,8.11598656347925,23.062597248721683,0.19543084843842806,65.79776776346657,1.3398529853408945,-0.4934121781056249,14.416666666666666
"['CCL', 'ALB', 'MARA', '1919_HK']",22.655485345249275,-8.808196541500713,2.2744047734956054,7.198826530023264,0.25767281769575956,68.20137116166484,4.533819356878244,-0.6889565921291103,14.416666666666666
"['IBM', 'BK', 'UEC', 'MARA']",22.73562272795354,-8.870320040061873,3.178104977825624,9.812324839124058,0.2787841943934319,63.59239770845277,2.6112459073520142,-0.5119911387764806,14.333333333333334
