组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['CLF', 'PLUG', '921_HK', 'MAIZE']",18.047016685426104,-5.708085562625165,5.086906846932654,14.925913461726145,0.07700204553991111,62.53154616302648,11.743500538045556,-0.6994582967018168,20.916666666666668
"['AIG', 'PLUG', 'NYT', '1138_HK']",17.747759582155783,-5.7490556406645466,1.2874439483822588,4.26369865272594,0.1443458501848282,61.646177666914035,3.66339494804659,-0.820639596283959,21.666666666666668
"['DBB', 'PLUG', 'MOD', 'OIH']",17.524461140462737,-5.818413328448591,2.2395839238185364,6.521083124566566,0.3205587327016378,62.19768645404168,8.892269049101325,-0.8106210195645837,19.666666666666668
"['BLK', 'PLUG', 'MOD', '992_HK']",17.714259247255857,-5.973200913917598,8.656345571131096,27.091144316098,0.2589741180940715,61.26651182702108,1.5426334048401151,-0.6898397111685679,21.666666666666668
"['PLUG', 'MOD', 'WEX', 'NIKKEI225']",17.30844431205027,-5.98106442706845,5.482750114056037,17.51131802823861,0.2978534187371919,59.02600953789252,1.8403353244509497,-0.6826475361922344,21.583333333333332
"['PLUG', 'MSTR', '700_HK', 'AMD_US']",19.912140008030153,-6.2632491130509615,35.7970365120979,96.43329803464489,0.16711147361587042,69.68975122897675,4.042644916705455,-0.6549019937060423,19.5
"['NTES', 'PLUG', 'WLDN', '2333_HK']",17.216734606363943,-6.282895610272199,13.272786204247325,38.49059705705983,0.1569908993680619,62.7955883095224,3.0648615618114574,-0.6167882248916672,19.833333333333332
"['XLV', 'EXPE', 'CLF', 'PLUG']",17.248892818679536,-6.34797027113696,2.903437833232157,10.039077830015787,0.252513062673679,58.88259891207959,1.8970898423794291,-0.7553267569732891,21.166666666666668
"['AMD', 'ALB', 'PLUG', 'MSTR']",19.9320790585405,-6.403877336873465,13.539444962808206,44.80123938772434,0.24797045818467767,68.7791529988918,2.2953874649502555,-0.6727283099263729,21.666666666666668
"['TXN', 'CLF', 'PLUG', '1898_HK']",17.32103435050227,-6.485179288451159,3.173295378388622,10.250682832129828,0.20745413046232844,62.17223500495766,4.931218641685751,-0.7594310331337863,19.75
"['PLUG', 'MOD', 'MGM', 'XBI']",18.7427346567431,-6.533360171101221,4.274061010660416,14.426277258683486,0.29505766250770926,65.49803543168264,2.2718085092902203,-0.7628718737312162,20.583333333333332
"['MNST', 'FSLR', 'PLUG', 'AMD_US']",18.8951848907552,-6.771647196444319,17.022691998639605,51.634600680214845,0.1518948280304568,66.07061784075712,2.3252915646959313,-0.6290818360610596,19.5
"['EXPE', 'PLUG', '1919_HK', 'NG_US']",17.583912506089845,-6.841032602836905,3.8191668100277147,13.569501984354263,0.09860440318981999,64.46490507634198,2.786862214765437,-0.8414666843611048,20.416666666666668
"['BAC', 'BK', 'CLF', 'PLUG']",17.520552661021792,-6.950996285509725,1.8239662866256627,7.4847584855574425,0.29180800810308766,60.95366738561885,4.94943995709327,-0.8274666179662733,21.583333333333332
"['GILD', 'CLF', 'PLUG', 'PNGASJPUSDM']",18.76509348055214,-6.962540641927406,4.937301054232641,18.982954460380043,0.085018035991292,64.51311036528652,7.724544979961276,-0.6146212766170597,21.5
"['AXP', 'PLUG', 'MOD', 'PWHEAMTUSDM']",17.218834760416083,-6.981308362213423,3.7373593839772337,14.668064137077426,0.14171697558872973,59.40412725937492,1.713565400347069,-0.6164305863798365,21.5
"['WDC', 'AA', 'MOD', 'CELH']",17.517451012637274,-7.209158549347361,10.469834741560797,35.44920117291839,0.34586238219228954,67.61398440957348,7.541256280656364,-0.7531199136830076,19.666666666666668
"['ENTG', 'PLUG', 'MOD', 'TEA_AVG_3_AUCT']",18.759976434801132,-7.2296611665206845,3.9681173792569817,15.614594988990357,0.16837481661004192,63.36359634819978,3.1918566745414596,-0.6590771074522901,20.916666666666668
"['INTC', 'PEP', 'PLUG', 'MOD']",17.252664604609826,-7.237119467720543,3.246277906766645,13.65251748916995,0.17354996887493424,58.14016963886064,1.675652867717502,-0.6385966691590063,21.666666666666668
"['VRTX', 'FSLR', 'PLUG', 'NG_EU']",17.28900042556354,-7.2470156048755285,5.297327895559825,18.06860720200594,0.06206017582593442,63.779056276927605,1.8809682190513874,-0.7876421087267235,19.083333333333332
"['HAL', 'PLUG', 'MOD', '1093_HK']",18.755189439809897,-7.283507590220872,4.459324785971487,18.540748076830265,0.19458780478888396,65.13903139490648,2.649802118830037,-0.5926715221425825,21.666666666666668
