,1_HK,2_HK,3_HK,5_HK,6_HK,16_HK,27_HK,151_HK,267_HK,291_HK,322_HK,345_HK,386_HK,388_HK,688_HK,690_HK,700_HK,728_HK,762_HK,763_HK,857_HK,883_HK,921_HK,939_HK,941_HK,960_HK,981_HK,992_HK,1024_HK,1044_HK,1070_HK,1088_HK,1093_HK,1109_HK,1138_HK,1169_HK,1171_HK,1177_HK,1209_HK,1211_HK,1288_HK,1299_HK,1347_HK,1398_HK,1801_HK,1810_HK,1876_HK,1898_HK,1919_HK,1928_HK,1929_HK,2015_HK,2018_HK,2020_HK,2208_HK,2238_HK,2269_HK,2318_HK,2319_HK,2331_HK,2333_HK,2382_HK,2380_HK,2600_HK,2601_HK,2628_HK,2899_HK,3323_HK,3328_HK,3690_HK,3692_HK,3898_HK,3968_HK,3993_HK,3988_HK,6060_HK,6618_HK,6690_HK,6862_HK,9618_HK,9668_HK,9866_HK,9868_HK,9881_HK,9922_HK,9961_HK,9988_HK,9999_HK,9888_HK,772_HK,3888_HK,2400_HK,1833_HK,2885_HK,696_HK,1478_HK,522_HK,1675_HK,1860_HK,136_HK,354_HK,434_HK,2166_HK,650_HK,9995_HK,2162_HK,9966_HK,1877_HK,6600_HK,1167_HK,2197_HK,1530_HK,853_HK,2252_HK,1789_HK,9996_HK,2160_HK,2500_HK,9929_HK,6669_HK,3737_HK,6826_HK,2170_HK,9939_HK,1228_HK,6998_HK,3320_HK,2607_HK,1775_HK,1114_HK,1958_HK,489_HK,1585_HK,2451_HK,1233_HK,968_HK,3868_HK,1108_HK,916_HK,1798_HK,836_HK,1816_HK,658_HK,757_HK,1799_HK,3800_HK,956_HK,1811_HK,639_HK,347_HK,323_HK,1208_HK,1258_HK,1772_HK,2245_HK,1091_HK,581_HK,1333_HK,403_HK,2326_HK,6198_HK,3369_HK,2343_HK,2866_HK,1199_HK,316_HK,1308_HK,1549_HK,2282_HK,880_HK,1128_HK,1992_HK,168_HK,308_HK,678_HK,3908_HK,6881_HK,6886_HK,1788_HK,2611_HK,6066_HK,588_HK,995_HK,6837_HK,6030_HK,1658_HK,11_HK,23_HK,2388_HK,966_HK,2007_HK,3900_HK,3383_HK,1813_HK,3377_HK,817_HK,2009_HK,6865_HK,9633_HK,6186_HK,1579_HK,1458_HK,1688_HK,1112_HK,2145_HK,6993_HK,6601_HK,2338_HK,3808_HK,2128_HK,1829_HK,669_HK,2369_HK,1072_HK,1766_HK,390_HK,1186_HK,1800_HK,525_HK,694_HK
2021-08-13,189.298,159.134,68.455,463.552,117.013,174.45,71.885,7.869,23.268,97.613,19.373,37.186,10.431,578.49,27.881,-0.776,2386.28,4.818,7.166,115.03,8.617,81.78,12.087,10.44,100.995,44.697,2.455,44.561,80.05,75.17,1.513,33.307,23.179,37.808,6.117,,30.171,285.69,43.258,1048.461,4.708,100.883,44.69,8.239,73.3,25.45,21.424,6.536,23.286,41.08,19.31,114.6,57.329,174.2,22.626,13.486,367.2,160.588,90.766,125.55,566.022,226.591,4.429,6.167,32.395,19.505,203.099,25.055,9.977,233.4,25.677,54.915,125.634,22.212,5.747,36.15,76.15,29.74,31.697,274.0,3.383,,156.0,,25.69,189.3,184.0,143.681,154.1,74.0,39.071,46.25,71.1,0.409,48.66,13.777,142.36,13.117,7.41,0.046,15.973,1.021,1.87,0.455,108.0,62.5,21.15,49.6,,18.3,,7.509,53.819,,10.155,26.95,9.04,40.85,0.072,,1.729,80.014,16.42,67.5,,11.86,4.68,19.479,0.575,,4.379,10.464,15.35,,14.246,18.379,5.304,11.6,14.852,2.429,23.963,2.148,6.93,0.641,19.959,2.367,5.365,4.153,4.062,9.036,5.678,0.521,4.243,162.035,,1.65,4.652,,0.866,1.28,5.401,2.66,11.296,3.309,15.058,302.777,33.58,0.28,13.823,11.6,18.59,9.59,73.951,2.23,0.815,19.62,5.651,13.478,5.788,12.346,9.531,2.753,9.157,9.339,23.019,6.727,280.8,34.38,44.786,13.042,13.932,14.711,17.955,17.903,4.157,3.982,4.093,33.909,40.554,14.53,49.355,6.8,,32.27,,6.729,6.052,335.608,19.466,18.43,,345.492,2.511,19.066,5.243,4.99,7.181,6.796,3.227,6.775
2021-08-20,188.348,160.394,69.041,456.731,117.163,177.65,65.618,7.843,23.148,99.08,18.413,35.461,10.197,540.69,27.153,-0.767,2162.28,4.478,7.236,109.526,8.217,79.98,11.407,10.472,99.745,43.797,2.315,44.801,68.05,70.07,1.451,32.687,21.72,36.108,5.997,,27.931,273.135,38.708,961.061,4.698,103.633,43.44,8.218,62.8,23.45,19.984,6.086,20.685,38.28,17.93,104.6,54.629,168.8,21.759,13.262,315.9,155.188,88.566,128.1,523.272,219.591,4.576,5.457,31.795,19.385,169.049,24.615,9.914,193.4,24.377,50.765,124.427,18.312,5.725,33.45,58.1,28.09,27.347,241.4,3.153,,142.6,,23.94,205.8,157.9,121.681,133.5,62.9,37.371,39.2,58.3,0.399,47.34,12.537,131.91,13.177,6.74,0.041,13.193,0.966,1.83,0.455,95.0,53.0,17.36,41.0,,16.1,,7.049,44.519,,9.035,23.8,7.38,39.1,0.073,,1.659,70.964,11.92,65.0,,9.9,4.4,18.999,0.56,,4.149,10.164,13.95,,13.426,17.862,4.924,11.14,14.192,2.229,25.217,2.158,7.12,0.601,17.099,2.367,5.235,3.853,4.082,8.655,5.418,0.372,3.733,146.635,,1.05,4.382,,0.836,1.205,5.301,2.65,11.056,3.139,14.658,315.24,34.48,0.27,13.333,11.18,17.75,9.07,71.501,2.19,0.799,19.02,5.621,13.398,5.644,12.306,9.601,2.703,9.067,9.349,23.499,6.547,277.1,34.666,44.286,12.679,13.527,14.571,17.674,17.283,4.107,3.792,4.033,30.959,39.354,14.81,43.005,6.28,,29.27,,6.119,5.232,323.32,18.286,16.51,,336.692,2.304,24.106,5.143,4.93,7.121,6.706,3.167,6.795
2021-08-27,188.148,159.074,67.953,456.519,116.213,174.95,70.952,7.933,23.578,102.013,19.073,35.956,10.301,567.98,26.882,-0.757,2367.28,4.438,7.076,113.654,8.407,79.18,11.367,10.482,98.225,43.497,2.425,45.001,71.45,72.32,1.451,33.967,20.74,37.558,6.107,,31.963,270.3,41.708,1006.661,4.718,103.283,46.59,8.207,60.85,24.85,19.804,6.906,22.629,40.13,18.83,116.7,52.479,162.0,22.44,14.2,348.0,155.388,96.766,140.921,549.522,224.191,5.309,6.307,31.845,19.625,177.899,24.535,9.737,225.0,19.077,55.015,126.842,19.812,5.725,38.0,70.0,29.04,28.847,304.8,3.253,,162.1,,25.64,223.6,155.9,145.081,150.5,62.5,30.971,39.0,53.3,0.394,51.12,13.617,133.46,13.277,7.59,0.04,13.393,0.986,1.92,0.455,99.4,50.45,17.9,42.45,,18.12,,8.209,45.619,,7.855,22.25,7.69,37.5,0.072,18.1,1.539,74.864,11.14,72.0,,10.58,4.53,19.159,0.54,,4.319,11.274,14.77,,13.636,19.974,4.874,12.9,15.192,2.339,26.735,2.168,7.33,0.614,21.509,2.367,5.415,4.513,4.282,9.321,6.108,0.455,3.873,163.535,,1.68,4.572,,0.866,1.055,5.341,2.69,12.076,3.464,15.058,313.062,38.13,0.305,13.353,11.94,18.66,10.93,70.451,2.22,0.831,18.5,5.781,13.538,6.256,12.866,9.521,2.743,9.177,9.599,23.899,6.427,274.2,33.896,43.486,12.872,13.943,16.011,17.517,17.173,4.057,4.072,4.053,38.859,39.904,14.53,41.205,7.82,,28.22,,6.759,4.912,345.438,17.766,17.31,,352.092,2.235,23.606,5.373,5.07,7.251,6.766,3.217,6.975
2021-09-03,188.648,158.81,67.618,454.181,116.343,172.95,74.085,8.023,24.958,102.969,19.293,37.471,10.808,569.78,27.34,-0.748,2475.28,4.398,7.07,109.919,8.757,80.48,11.827,10.515,99.025,43.397,2.405,46.081,90.15,73.07,1.499,35.107,21.643,38.958,6.287,,36.315,293.79,40.808,976.261,4.778,101.113,46.89,8.28,66.05,25.4,20.104,7.516,22.031,41.53,20.01,118.5,53.479,168.2,27.576,14.914,347.4,147.088,96.866,143.258,545.772,241.991,6.016,6.757,33.495,20.005,186.899,28.895,9.964,244.8,21.927,51.065,126.669,20.322,5.758,37.35,78.3,31.44,31.947,312.2,3.273,,156.2,,26.09,246.0,164.9,147.781,158.6,69.0,33.971,47.8,58.15,0.404,53.7,13.717,139.31,13.317,7.34,0.04,14.573,1.031,1.83,0.468,102.9,50.6,21.05,43.25,,20.4,,8.629,48.519,,8.605,22.85,8.0,37.0,0.074,17.98,1.529,72.364,12.0,78.0,,11.5,4.72,19.659,0.56,,4.419,11.694,14.01,,13.616,21.03,5.204,13.42,17.152,2.589,29.496,2.368,9.08,0.628,25.259,2.367,6.305,5.243,4.652,10.035,6.198,0.503,4.463,159.635,,1.42,4.892,,0.902,0.98,5.451,2.73,11.756,3.495,15.478,336.534,36.33,0.28,13.683,12.2,19.16,12.43,70.751,2.28,0.815,21.53,6.081,14.578,6.328,13.126,10.581,2.813,9.297,9.949,24.729,6.637,273.5,34.699,42.986,13.574,14.177,16.191,17.753,17.003,4.072,4.102,4.233,40.559,40.904,15.788,45.105,8.66,,29.97,,7.299,4.672,343.288,19.066,18.03,,363.392,2.097,28.526,5.683,5.68,7.831,7.316,3.317,7.385
2021-09-10,187.648,158.57,67.953,451.844,115.693,175.55,76.818,8.063,24.878,101.969,19.513,37.621,10.954,586.18,27.07,-0.757,2485.28,4.408,7.12,117.388,8.803,82.33,12.097,10.622,99.575,43.397,2.36,45.841,97.45,72.473,1.555,36.247,21.201,39.166,6.377,,37.755,292.575,38.458,1003.621,4.858,103.713,46.24,8.343,64.2,24.1,19.564,7.726,24.243,42.48,20.69,118.9,52.329,175.2,27.174,15.222,355.8,146.388,100.766,150.2,542.022,237.191,5.896,7.777,33.995,19.965,200.999,30.695,10.04,259.4,21.677,45.815,132.015,20.712,5.857,36.1,76.0,30.69,33.547,321.2,3.413,,153.5,,25.74,250.6,167.9,139.781,162.1,69.8,33.721,50.75,57.8,0.404,54.18,13.057,137.06,13.357,7.34,0.038,13.853,1.036,1.81,0.449,105.2,55.0,23.2,43.45,,19.92,,8.709,47.819,,8.835,22.9,7.92,40.25,0.073,17.56,1.549,73.864,13.76,74.0,,11.42,4.67,20.179,0.575,,4.559,11.654,13.97,,12.876,20.788,5.094,12.88,17.852,3.119,29.804,2.578,8.18,0.721,27.109,2.367,7.125,5.973,4.612,10.955,6.508,0.534,4.723,159.635,,1.46,5.112,,0.926,1.055,5.511,2.78,12.416,3.697,15.222,323.829,39.73,0.28,13.913,12.54,19.51,11.39,72.401,2.33,0.799,23.43,6.181,15.438,6.148,13.446,11.201,2.833,9.557,9.839,25.679,6.797,273.2,35.161,43.836,14.155,13.868,16.951,16.763,16.473,4.082,4.052,4.393,40.109,39.154,14.288,47.705,8.47,,27.99,,6.989,4.452,338.987,18.266,17.79,,350.192,2.718,31.126,5.783,5.85,8.191,7.536,3.387,7.445
2021-09-17,184.898,157.37,67.032,449.081,114.493,170.05,60.085,8.203,24.498,95.102,19.833,36.886,10.993,573.98,25.666,-0.786,2344.28,4.308,7.0,115.03,9.193,82.33,10.917,10.493,98.575,39.897,2.265,46.641,100.8,71.473,1.469,35.447,20.913,37.366,6.357,,36.827,275.97,37.108,987.661,4.798,96.513,42.64,8.207,66.5,23.0,19.604,7.826,22.12,30.99,20.21,112.6,50.979,165.1,28.535,14.536,369.3,135.388,104.066,150.342,511.272,229.991,5.563,7.707,32.645,19.485,181.499,29.135,9.926,240.8,20.627,43.615,122.185,20.052,5.802,33.85,79.95,28.64,31.547,307.4,3.113,,147.9,,23.24,225.2,154.9,130.755,159.1,65.15,32.271,43.75,53.3,0.384,51.54,12.437,136.16,13.677,7.3,0.032,13.473,1.026,1.67,0.455,102.7,51.9,20.55,42.75,,22.1,,8.379,48.819,,10.605,22.35,6.7,42.15,0.066,14.66,1.549,70.414,12.4,75.05,,10.2,4.4,19.559,0.68,,4.419,10.996,13.19,,12.036,19.776,4.824,11.64,17.332,3.049,29.144,2.468,8.62,0.654,22.409,2.367,7.265,5.503,4.482,9.654,6.058,0.482,4.323,148.635,,1.28,4.732,,0.92,0.98,5.401,2.75,12.436,3.48,15.542,328.306,37.53,0.26,11.343,10.54,16.16,10.09,68.401,2.25,0.721,21.88,6.151,14.958,6.148,13.546,10.281,2.723,9.497,9.749,24.529,6.477,269.9,34.391,43.383,13.187,12.537,14.811,15.638,15.409,3.902,3.922,4.193,36.309,38.954,14.948,42.205,8.04,,25.72,,6.719,4.202,311.646,17.166,15.31,,335.992,2.994,27.286,5.623,5.57,7.731,7.336,3.337,6.765
2021-09-24,183.648,156.47,65.19,446.744,113.943,160.35,60.219,8.273,23.778,93.502,19.473,37.621,10.954,558.58,26.664,-0.852,2336.28,4.318,6.92,111.295,9.193,82.33,10.747,10.247,97.975,40.347,2.195,45.801,86.85,71.173,1.455,34.627,20.26,39.116,6.367,,34.203,272.73,40.308,932.941,4.708,94.913,42.94,8.05,72.55,22.1,19.664,7.596,22.031,31.41,19.37,105.3,49.079,150.7,27.452,13.584,353.4,134.888,102.966,127.391,485.772,214.991,6.949,7.127,32.495,19.245,171.299,26.815,9.775,244.6,19.677,41.315,113.217,17.982,5.736,31.9,75.65,25.84,30.147,292.2,2.963,,142.6,,22.89,228.4,144.3,127.755,154.8,61.6,32.421,45.85,51.8,0.399,52.38,12.057,135.51,13.477,7.33,0.028,14.053,1.021,1.64,0.449,101.8,52.4,18.64,40.15,,20.7,,7.899,50.369,,11.025,22.1,6.76,40.8,0.067,14.78,1.489,68.064,12.24,51.0,,11.12,4.36,19.599,0.66,,4.249,10.606,12.39,,12.246,19.226,4.924,10.3,19.032,3.359,32.719,2.678,8.98,0.641,22.609,2.367,8.765,7.003,4.262,8.496,5.608,0.44,4.203,140.235,,1.27,4.572,,0.902,1.055,5.411,2.78,11.936,3.526,15.782,324.192,40.23,0.235,11.173,10.67,16.51,10.11,67.601,2.29,0.799,21.53,5.971,14.698,5.896,13.026,10.151,2.723,9.437,9.569,24.159,6.057,265.4,33.907,42.683,13.042,13.092,15.371,16.538,16.179,3.932,3.952,4.093,37.759,37.004,13.548,43.205,8.23,,25.02,,6.669,4.722,296.628,15.386,14.75,,333.592,3.063,30.406,5.513,5.36,7.531,7.206,3.337,7.055
2021-09-30,184.348,156.59,64.938,452.056,114.043,162.05,59.885,8.563,23.368,93.836,19.853,36.946,10.98,561.98,27.371,-0.842,2342.28,4.278,6.9,108.347,9.083,85.48,10.707,10.418,97.725,43.247,2.205,46.361,82.7,71.873,1.433,36.087,20.337,41.716,6.957,,36.411,280.02,43.408,932.941,4.788,98.363,41.59,8.197,75.5,21.35,20.164,7.806,18.801,31.93,19.03,101.2,48.129,155.2,26.771,13.15,379.5,135.001,104.366,129.446,477.522,209.391,6.989,6.997,32.895,19.325,166.199,26.015,10.015,246.6,19.877,41.315,119.771,17.262,5.791,32.05,75.1,27.89,29.997,283.2,3.143,,135.0,,23.59,234.8,142.2,133.555,148.4,59.4,33.021,43.35,50.6,0.399,53.64,11.557,129.66,13.477,7.25,0.032,13.913,1.026,1.62,0.443,98.6,51.45,17.64,39.6,,18.76,,7.719,44.269,,11.025,20.4,6.24,40.2,0.068,15.0,1.449,66.314,11.72,52.25,,14.3,4.39,19.099,0.68,,4.209,10.586,13.13,,12.356,18.544,4.904,9.96,20.272,3.689,32.279,2.828,8.42,0.621,21.659,2.367,8.665,8.523,4.352,8.227,5.418,0.429,4.103,139.435,,1.2,4.552,,0.89,1.13,5.431,2.75,11.056,3.325,15.902,296.241,32.68,0.234,10.543,10.55,16.58,10.19,68.401,2.29,0.799,21.23,6.021,14.678,5.824,13.126,10.051,2.733,9.267,9.609,24.219,6.337,266.9,34.259,43.533,13.284,13.689,16.251,16.515,16.899,4.022,4.352,3.953,37.309,39.854,13.928,44.155,8.47,,25.2,,6.879,4.252,292.635,15.046,14.87,,325.792,2.994,29.966,5.443,5.21,7.431,7.106,3.307,7.085
2021-10-08,184.998,156.77,64.771,464.382,114.093,166.35,59.819,8.493,23.098,93.636,20.233,35.926,11.149,554.18,27.059,-0.852,2444.28,4.378,6.97,108.15,9.453,86.48,10.757,10.322,99.075,42.197,2.17,48.121,83.75,73.473,1.427,35.327,20.011,40.616,7.437,,34.619,258.15,43.308,944.341,4.778,98.413,40.44,8.239,76.1,21.15,20.774,7.716,18.054,31.95,19.95,110.9,42.929,139.8,24.946,13.472,336.0,144.201,99.066,116.412,492.716,204.791,6.416,6.677,34.645,20.025,166.349,25.415,10.116,256.0,19.697,39.415,116.753,17.082,5.758,31.0,72.9,28.19,27.347,296.2,3.203,,149.8,,22.24,246.0,155.5,147.055,152.9,57.0,33.471,42.85,51.7,0.404,52.5,11.137,128.66,14.217,7.02,0.034,12.753,1.051,1.56,0.449,97.15,48.8,17.18,39.45,,18.5,,7.419,40.169,,10.305,20.65,5.97,42.2,0.07,14.88,1.459,69.114,11.6,42.5,,10.9,4.39,19.219,0.68,,4.309,10.706,12.95,,12.076,16.982,4.634,8.88,17.492,3.759,28.924,2.728,7.69,0.594,19.999,2.367,8.005,7.463,4.332,7.719,5.428,0.437,4.073,139.435,,1.18,4.502,,0.89,1.13,5.511,2.79,10.896,3.247,16.262,280.027,28.08,0.216,11.073,10.65,16.57,10.87,69.951,2.29,0.877,21.38,6.021,14.818,5.824,13.166,10.061,2.743,9.327,9.679,24.339,6.267,275.1,34.567,44.333,13.937,13.369,15.751,16.043,16.649,4.062,4.302,3.953,34.209,38.654,13.708,42.055,8.0,,25.5,,7.059,3.852,287.105,15.606,14.41,,317.192,4.029,26.646,5.623,5.33,7.791,7.316,3.347,7.325
2021-10-15,184.898,156.35,63.766,473.732,113.543,166.65,59.685,8.373,23.088,96.036,19.613,35.086,11.11,551.18,26.914,-0.861,2513.28,4.478,6.99,109.133,9.423,85.38,10.517,10.301,99.425,42.447,2.16,43.641,84.75,73.423,1.419,35.827,19.012,40.466,6.847,,35.643,261.795,43.908,1046.941,4.798,96.213,39.94,8.218,76.75,21.25,19.904,7.506,15.737,32.63,22.53,116.1,43.279,129.8,24.451,14.228,328.2,143.401,95.066,122.362,551.966,204.091,6.203,6.527,34.645,20.265,187.499,24.575,10.04,280.8,20.627,42.215,122.616,17.712,5.769,30.35,74.4,28.39,29.947,314.8,3.103,,158.2,,22.14,258.0,161.8,151.355,161.0,56.8,34.271,47.65,51.85,0.399,57.84,11.617,126.16,13.337,7.76,0.034,12.613,1.061,1.57,0.461,102.0,44.5,16.88,41.0,,18.6,,7.259,41.669,,9.515,20.4,5.53,41.7,0.071,14.04,1.469,70.514,11.56,43.1,,10.98,4.31,19.359,0.68,,4.329,11.096,13.53,,11.376,18.478,5.004,10.28,17.412,3.899,29.254,2.708,7.56,0.601,20.859,2.367,7.655,7.343,4.252,7.767,5.518,0.494,4.213,140.735,,1.18,4.482,,0.89,0.98,5.431,2.74,10.496,3.185,15.572,268.774,28.23,0.228,11.243,10.74,16.76,11.43,69.451,2.29,0.846,19.4,5.891,14.338,5.68,12.886,9.691,2.703,8.847,9.539,23.299,6.207,281.6,34.479,45.133,14.082,13.305,15.571,15.784,16.089,4.092,4.232,3.913,38.559,38.704,13.688,46.055,8.19,,25.32,,7.069,3.952,272.667,14.946,14.27,,326.792,4.236,25.126,5.473,5.25,7.551,7.086,3.317,7.495
2021-10-22,185.348,156.65,64.352,475.644,114.143,168.05,63.218,8.513,23.048,95.569,19.533,36.166,10.993,562.18,28.286,-0.833,2582.78,4.498,7.03,105.791,9.293,84.73,11.217,10.258,99.725,47.197,2.315,45.521,102.2,72.373,1.463,35.727,19.147,42.616,6.897,,34.523,260.985,43.708,1132.061,4.808,97.813,41.89,8.218,76.65,22.6,19.724,7.216,17.875,33.49,20.89,123.6,45.329,142.6,25.132,14.032,339.9,153.801,96.566,133.412,562.466,213.191,6.096,6.537,35.395,20.785,190.799,25.735,10.116,289.2,19.837,45.265,127.963,18.582,5.802,30.85,78.75,29.69,29.447,325.0,3.063,,169.8,,21.39,243.4,174.4,162.555,177.6,58.7,37.071,48.4,54.55,0.419,55.08,12.697,129.61,14.037,8.46,0.036,13.793,1.051,1.79,0.749,102.3,41.15,17.74,41.7,,18.36,,7.669,40.369,,9.305,19.2,5.82,39.65,0.072,14.24,1.509,69.214,11.74,43.45,,11.1,4.45,18.699,0.68,,4.409,11.146,13.85,,12.106,18.478,4.684,9.59,18.012,3.909,27.494,2.638,7.71,0.641,23.809,2.367,7.755,7.563,4.192,7.577,5.468,0.494,3.793,152.835,,1.37,4.472,,0.884,1.055,5.391,2.74,11.216,3.201,15.522,293.216,30.33,0.223,11.433,11.1,17.26,11.19,66.851,2.31,1.034,20.18,5.981,14.558,5.788,12.986,10.051,2.723,9.017,9.619,24.059,6.417,280.2,34.655,44.983,14.397,13.807,16.851,16.414,17.399,4.282,4.322,3.993,39.559,38.754,14.628,53.155,7.96,,25.82,,7.159,3.952,279.118,15.786,15.41,,327.192,3.753,25.566,5.563,5.29,7.551,7.136,3.327,7.515
2021-10-29,184.748,157.97,66.194,478.407,115.693,168.15,62.685,8.703,22.868,103.169,19.933,35.326,10.928,552.98,26.768,-0.89,2440.28,4.428,6.97,99.698,9.153,84.88,10.637,10.108,99.025,45.147,2.2,46.721,103.5,70.823,1.503,34.627,18.033,39.166,6.577,,31.291,251.67,41.108,1136.621,4.758,96.263,40.39,8.124,69.8,21.35,21.874,6.596,19.011,33.71,20.05,131.2,44.929,130.0,28.38,13.822,355.2,140.301,103.166,124.275,578.966,214.791,6.696,5.757,33.745,20.105,184.499,24.495,10.028,269.6,17.457,42.665,125.807,17.202,5.78,28.55,68.9,29.54,22.047,310.4,3.053,,181.8,,19.54,225.4,163.0,155.755,162.0,54.15,35.421,44.3,37.85,0.409,52.32,11.777,127.56,13.437,7.65,0.034,13.173,1.071,1.68,0.668,96.9,40.0,16.08,39.15,,17.7,,7.189,37.069,,8.275,19.0,5.43,36.05,0.085,14.02,1.429,61.614,10.54,38.8,,10.1,4.31,18.239,0.72,,4.089,10.906,13.81,,11.196,18.896,4.934,11.34,19.212,3.519,29.694,2.558,7.92,0.628,25.909,2.367,7.065,7.543,4.032,7.259,5.188,0.476,3.663,146.935,,1.25,4.342,,0.89,1.055,5.271,2.67,11.016,3.263,15.642,306.526,31.08,0.208,11.433,11.06,17.06,9.8,75.051,2.27,0.987,20.14,5.831,14.258,5.428,12.546,9.571,2.663,9.117,9.409,24.199,6.617,282.4,34.523,44.733,13.356,12.9,15.231,15.21,16.089,4.182,3.952,3.913,42.559,39.654,13.748,46.555,7.58,,24.9,,7.069,3.882,258.843,14.186,14.47,,335.792,3.96,29.086,5.403,5.14,7.441,7.086,3.237,7.545
2021-11-05,184.348,157.37,65.19,471.182,115.393,167.95,62.485,8.933,22.248,99.836,20.989,34.246,10.824,548.18,25.936,-0.871,2372.28,4.328,6.92,94.194,8.833,82.78,10.487,9.98,99.475,41.097,2.305,45.121,95.25,69.673,1.485,34.007,17.553,37.316,6.127,,31.483,240.735,38.958,1191.341,4.718,94.563,47.04,8.05,69.0,20.4,21.474,6.346,17.934,33.05,20.81,125.1,42.979,133.5,30.422,13.92,305.7,136.601,101.566,133.483,556.466,225.791,6.683,5.217,33.395,19.945,174.899,22.695,10.103,276.8,16.677,51.565,122.185,16.032,5.758,26.4,70.15,27.94,21.297,309.8,2.743,,188.3,,17.02,224.2,159.9,160.655,159.7,52.85,34.571,42.9,31.05,0.419,49.44,11.237,125.11,14.017,7.22,0.03,12.773,1.041,1.71,0.536,92.6,38.85,14.66,40.25,,17.22,12.98,6.969,33.519,44.75,7.325,18.7,4.76,35.6,0.089,11.6,1.419,55.114,8.73,39.9,,8.82,4.07,17.579,0.72,,4.289,10.826,14.21,,10.366,16.454,4.514,10.26,18.932,3.259,29.254,2.618,8.25,0.554,20.659,3.459,7.165,7.523,3.982,6.308,4.738,0.404,3.323,150.635,,0.95,4.172,,0.878,0.98,5.231,2.65,9.836,3.046,15.262,292.369,31.03,0.18,10.823,10.89,16.86,9.78,73.001,2.32,0.94,18.94,5.761,13.958,5.32,12.406,9.181,2.653,9.257,9.219,23.199,6.567,282.1,33.995,44.483,12.558,12.409,14.751,14.265,15.609,4.222,3.872,3.773,38.159,40.804,12.828,49.105,7.42,,22.86,,6.889,3.842,247.784,13.446,13.55,,333.792,3.546,29.326,5.433,5.0,7.231,7.016,3.207,7.345
2021-11-12,184.998,156.95,64.352,470.544,115.843,168.55,65.285,8.843,22.488,101.302,21.769,33.916,10.876,547.18,28.224,-0.729,2461.28,4.318,6.97,96.946,8.943,82.73,10.847,10.054,98.225,46.697,2.26,45.481,100.0,69.223,1.523,34.167,18.168,42.866,6.247,,31.675,244.38,41.058,1149.541,4.748,91.613,46.69,8.134,75.25,21.15,21.374,6.136,18.054,34.07,20.81,120.7,43.979,141.5,29.432,14.298,315.0,145.801,97.266,137.875,551.216,230.791,6.589,5.287,34.695,20.445,183.899,23.215,10.243,289.8,18.417,51.412,124.6,16.242,5.791,28.3,75.25,30.09,20.447,329.6,2.733,,194.6,,18.3,242.4,162.4,176.155,164.8,58.05,36.771,49.25,34.75,0.429,50.76,11.557,127.81,13.777,7.9,0.029,13.353,1.036,1.81,0.561,100.0,36.8,16.5,42.95,,16.86,10.36,7.259,38.219,61.7,7.735,19.9,5.25,38.2,0.089,12.56,1.449,57.564,9.35,58.75,,8.82,4.22,17.639,0.72,,4.669,11.006,14.17,,11.186,16.828,4.614,13.0,17.472,3.279,27.89,2.558,8.59,0.561,20.839,3.555,6.625,6.603,3.972,6.673,4.758,0.414,3.343,143.035,,0.97,4.302,,0.884,1.055,5.391,2.68,9.776,3.077,15.362,290.675,30.38,0.145,10.973,11.06,17.05,11.25,72.401,2.45,1.174,20.76,6.001,14.338,5.5,12.766,9.781,2.653,9.337,9.459,23.999,6.647,278.6,33.995,44.583,12.969,13.316,16.091,15.042,16.859,4.252,4.162,3.753,39.409,44.454,12.668,44.305,7.97,,23.38,,7.069,4.102,255.156,14.706,14.39,,343.192,3.753,29.366,5.453,5.09,7.301,7.026,3.187,7.575
2021-11-19,184.498,157.79,64.436,473.732,115.393,168.85,68.218,8.803,22.398,103.835,21.689,34.246,10.811,546.58,28.182,-0.776,2515.28,4.308,6.95,97.143,8.933,82.48,10.467,10.022,98.125,47.647,2.22,44.601,96.3,68.423,1.533,34.227,18.34,43.916,6.137,,31.515,253.29,40.858,1148.781,4.788,93.013,48.34,8.124,80.3,21.15,21.174,6.036,18.084,35.41,21.17,121.0,45.429,143.9,29.216,14.83,331.8,143.201,97.066,134.971,561.716,222.191,6.123,5.177,34.345,20.285,185.399,23.035,10.344,280.8,17.597,53.462,124.168,16.872,5.824,27.35,74.85,30.94,19.967,352.4,2.863,,187.2,,18.76,230.2,139.3,181.055,151.3,58.0,37.371,50.85,33.1,0.424,49.08,11.737,129.41,13.557,7.31,0.032,13.453,1.041,1.89,0.568,108.7,43.65,18.18,45.75,,16.38,12.98,6.869,38.069,62.0,7.375,18.92,5.45,40.75,0.085,14.3,1.379,58.264,9.46,59.6,,8.51,4.16,18.039,0.85,,4.619,10.956,14.07,,10.966,17.268,4.454,14.96,16.732,3.119,27.846,2.558,8.94,0.588,20.959,3.951,6.675,6.323,3.972,6.371,4.708,0.411,3.213,147.135,,1.08,4.272,,0.968,1.13,5.381,2.66,9.036,3.108,15.282,297.33,30.68,0.151,11.203,11.4,17.26,11.09,74.501,2.43,1.658,20.1,5.901,14.078,5.428,12.666,9.561,2.613,10.317,9.239,23.319,6.417,277.6,33.753,44.483,12.824,12.889,15.991,14.749,16.429,4.312,4.132,3.713,38.459,49.104,12.808,48.505,8.06,,22.84,,7.249,3.292,266.216,15.126,13.61,,356.392,3.822,27.486,5.603,5.12,7.251,7.056,3.247,7.475
