,cap_monthly
2022-10-28,62.41077039138979
2022-11-04,48.08096910551947
2022-11-11,47.41663595625508
2022-11-18,48.8967180775615
2022-11-25,50.71628028241518
2022-12-02,50.39063616381891
2022-12-09,48.56581265555055
2022-12-16,48.721264675742
2022-12-23,47.92730420005721
2022-12-30,50.52144482012233
2023-01-06,61.35995853426609
2023-01-13,65.914352285707
2023-01-20,68.6430242773086
2023-01-27,66.65886842858964
2023-02-03,63.18606085208432
2023-02-10,69.8646970476857
2023-02-17,67.82784353498928
2023-02-24,64.38703604634847
2023-03-03,63.384491712061674
2023-03-10,77.55398282875547
2023-03-17,77.73892838322901
2023-03-24,78.64085214690448
2023-03-31,79.29572590066586
2023-04-07,86.01161012206484
2023-04-14,77.88048840556671
2023-04-21,81.4595465739084
2023-04-28,79.34965773953448
2023-05-05,75.50852198599125
2023-05-12,75.29187046741532
2023-05-19,78.99540848536411
2023-05-26,77.31877295978194
2023-06-02,72.02577824788804
2023-06-09,72.60410649218433
2023-06-16,82.34653209204895
2023-06-23,83.58970592887258
2023-06-30,81.99500530020423
2023-07-07,85.41989605227468
2023-07-14,84.87257006796372
2023-07-21,82.76787788230685
2023-07-28,81.5574128357175
2023-08-04,82.1593126727025
2023-08-11,73.66159737870728
2023-08-18,73.17921564478857
2023-08-25,72.46109540288016
2023-09-01,71.88893773637474
2023-09-08,73.4976849486376
2023-09-15,72.71775212803036
2023-09-22,78.11376134773037
2023-09-29,76.9953872906145
2023-10-06,74.57830662937774
2023-10-13,82.0709946537363
2023-10-20,92.61817400224892
2023-10-27,96.12720842507477
2023-11-03,102.77851470706071
2023-11-10,102.99471722415933
2023-11-17,103.09147238223731
2023-11-24,109.17382010677804
2023-12-01,119.36282207468523
2023-12-08,112.70026164772592
2023-12-15,118.99899880870574
2023-12-22,118.334804585722
2023-12-29,119.47351405415458
2024-01-05,117.75074569429782
2024-01-12,117.28747898910025
2024-01-19,116.5874342103748
2024-01-26,117.80652667599223
2024-02-02,131.66041036782772
2024-02-09,143.37803094442052
2024-02-16,144.62926078881884
2024-02-23,172.83195554214063
2024-03-01,189.3693319842147
2024-03-08,189.3338349608734
2024-03-15,185.3219351607315
2024-03-22,196.14637442031767
2024-03-29,189.11012755971822
2024-04-05,176.13487666179216
2024-04-12,175.29847939231718
2024-04-19,172.4820568930868
2024-04-26,173.87552667105476
2024-05-03,166.9444198501675
2024-05-10,178.16848070245666
2024-05-17,189.0362887026515
2024-05-24,187.01164883740262
2024-05-31,190.59838783309485
2024-06-07,182.83432693890725
2024-06-14,172.68411598577785
2024-06-21,173.0531186484686
2024-06-28,152.86530187540933
2024-07-05,168.92497910707473
2024-07-12,188.67297491083443
2024-07-19,186.42900092982893
2024-07-26,157.9657243034387
2024-08-02,158.92769731953305
2024-08-09,159.69906919079244
2024-08-16,174.38720425250114
2024-08-23,154.85456846951203
2024-08-30,148.78623593961967
2024-09-06,158.44366020929422
2024-09-13,170.67484900100519
2024-09-20,176.77747534081703
2024-09-27,167.2727448870715
2024-10-04,168.0787321372006
2024-10-11,183.78761274358573
2024-10-18,179.2309138801212
2024-10-25,178.85069929184726
2024-11-01,212.76517984410845
2024-11-08,238.25370356970626
2024-11-15,264.07260694004003
2024-11-22,273.1514782023122
2024-11-29,290.85473251248095
2024-12-06,294.37124607524805
2024-12-13,263.01050553547026
2024-12-20,261.89208872570623
2024-12-27,277.6353505084187
2025-01-03,263.8824318588877
2025-01-10,281.0920876945398
2025-01-17,283.44057666558905
2025-01-24,263.54176015698135
2025-01-31,256.71815383751994
2025-02-07,259.2330928420982
2025-02-14,260.01097483733116
2025-02-21,254.60706160603485
2025-02-28,213.6992036218977
2025-03-07,216.56610521961673
2025-03-14,226.5615533523546
2025-03-21,214.94439444775657
2025-03-28,200.63068900726017
2025-04-04,213.57136522510126
2025-04-11,216.3040274487359
2025-04-18,237.4116537924728
2025-04-25,237.73638201675467
2025-05-02,273.26272078879384
2025-05-09,277.0977811682695
2025-05-16,283.42369213526746
2025-05-23,274.71879080224403
2025-05-30,274.3755686282072
2025-06-06,273.63438806053625
2025-06-13,256.8958960342909
2025-06-20,278.31346838385633
2025-06-27,281.34672306294345
2025-07-04,311.1555212863425
2025-07-11,325.31764231670854
2025-07-18,331.96769055275104
2025-07-25,312.04698949757045
2025-08-01,335.51593084226073
2025-08-08,336.0359841188121
2025-08-15,332.749035982185
2025-08-22,315.3608107984622
2025-08-29,322.1775909529051
2025-09-05,337.30560405760826
2025-09-12,337.140090175862
2025-09-19,325.2947551367792
2025-09-26,361.63291321374675
2025-10-03,338.5442971745804
2025-10-10,319.18263657267704
2025-10-17,336.9091865168131
2025-10-24,324.2592889489215
2025-10-31,306.79573085653544
2025-11-07,275.84542938496224
2025-11-14,253.12095086112328
2025-11-21,263.38129974660785
2025-11-28,263.19767921880776
2025-12-05,258.0042795638497
2025-12-12,257.34948940996316
2025-12-19,255.71468491402163
2025-12-26,267.97171821320944
2026-01-02,266.21641743730106
2026-01-09,273.3442014773325
2026-01-16,249.61055672534934
2026-01-23,219.27456899152423
2026-01-30,199.89371105212507
2026-02-06,195.82734584352693
2026-02-13,192.23304077447514
2026-02-20,187.9157913405281
2026-02-27,187.86161158971782
2026-03-06,207.81660697036247
2026-03-13,194.6255740236713
2026-03-20,189.14981116975005
2026-03-27,196.88650208316997
2026-04-03,202.17463809862525
2026-04-10,210.08679059013252
2026-04-17,222.23542904131682
2026-04-24,221.01143097325573
2026-05-01,233.06948466472235
2026-05-08,218.25801836238807
2026-05-15,218.2731054272299
2026-05-22,210.8463035254824
2026-05-29,180.18401378856885
2026-06-05,186.4140284529541
2026-06-12,180.60472094651746
2026-06-19,169.6090768386733
2026-06-26,183.7982916750694
2026-07-03,183.46994822437614
2026-07-10,186.0862693118079
2026-07-17,188.72628039020563
2026-07-24,186.48831282503764
2026-07-31,186.7377822368747
2026-08-07,184.15528380923075
2026-08-14,228.95766272149967
2026-08-21,226.9839597429117
2026-08-28,228.13631426228
2026-09-04,235.49122957030625
